Number of total reads: 		250000
0.2628	657	Clostridium bartlettii DSM 16795
0.2376	594	Clostridium sp. 7_2_43FAA
0.2344	586	Bacteroides sp. 20_3
0.2316	579	Ruminococcus lactaris ATCC 29176
0.2284	571	Blautia hansenii DSM 20583
0.2148	537	Dorea formicigenerans ATCC 27755
0.2124	531	Clostridium hylemonae DSM 15053
0.2044	511	Clostridium thermocellum ATCC 27405
0.2036	509	Bacteroides ovatus ATCC 8483
0.2012	503	Bacteroides sp. 3_1_23
0.1984	496	Blautia hydrogenotrophica DSM 10507
0.1948	487	Thermoanaerobacter mathranii subsp. mathranii str. A3
0.1836	459	Bacillus pumilus SAFR-032
0.172	430	Bacteroides ovatus SD CMC 3f
0.1716	429	Clostridium perfringens str. 13
0.1704	426	Clostridium sp. L2-50
0.1652	413	Bacteroides sp. D2
0.1632	408	Clostridium difficile CD196
0.1628	407	Streptococcus salivarius SK126
0.1544	386	Coprobacillus sp. D7
0.1524	381	Clostridium leptum DSM 753
0.1508	377	Bacteroides sp. 2_1_33B
0.146	365	Streptococcus thermophilus LMD-9
0.1388	347	Bacteroides ovatus SD CC 2a
0.1368	342	Myxococcus xanthus DK 1622
0.1348	337	Lactobacillus ruminis ATCC 25644
0.1324	331	Clostridium perfringens E str. JGS1987
0.13	325	Clostridium sticklandii DSM 519
0.1292	323	Actinomyces odontolyticus ATCC 17982
0.1268	317	Clostridium novyi NT
0.1252	313	Treponema denticola ATCC 35405
0.124	310	Bifidobacterium longum subsp. longum BBMN68
0.1192	298	Burkholderia sp. 383
0.1152	288	Acidaminococcus sp. D21
0.1144	286	Clostridiales genomosp. BVAB3 str. UPII9-5
0.114	285	Clostridium ljungdahlii DSM 13528
0.1136	284	Olsenella uli DSM 7084
0.1116	279	Coprococcus eutactus ATCC 27759
0.1104	276	Mobiluncus mulieris 28-1
0.1096	274	Bacteroides vulgatus ATCC 8482
0.1056	264	Haemophilus influenzae 86-028NP
0.1028	257	Carboxydothermus hydrogenoformans Z-2901
0.102	255	Escherichia coli B171
0.0988	247	Bifidobacterium longum NCC2705
0.0984	246	Streptococcus pneumoniae TIGR4
0.0972	243	Eubacterium cellulosolvens 6
0.0952	238	Clostridium kluyveri NBRC 12016
0.0916	229	Veillonella parvula DSM 2008
0.0904	226	Desulfitobacterium hafniense DCB-2
0.0892	223	Ruminococcus flavefaciens FD-1
0.0888	222	Dialister invisus DSM 15470
0.086	215	Chelativorans sp. BNC1
0.086	215	Bacteroides sp. 3_1_33FAA
0.0852	213	Leptotrichia buccalis C-1013-b
0.0844	211	Bacteroides sp. 2_1_7
0.0824	206	Clostridium perfringens SM101
0.0824	206	Bacteroides sp. 2_2_4
0.082	205	Bacteroides capillosus ATCC 29799
0.0784	196	Mobiluncus curtisii ATCC 43063
0.0776	194	Streptococcus mutans UA159
0.0748	187	Ruminococcus albus 8
0.074	185	Clostridium difficile 630
0.0736	184	Rhodomicrobium vannielii ATCC 17100
0.0684	171	Lactobacillus plantarum subsp. plantarum ATCC 14917
0.0672	168	Clostridium spiroforme DSM 1552
0.0664	166	Streptococcus pneumoniae R6
0.064	160	Clostridium acetobutylicum ATCC 824
0.0628	157	Moorella thermoacetica ATCC 39073
0.0612	153	Butyrivibrio crossotus DSM 2876
0.0608	152	Streptomyces scabiei 87.22
0.0604	151	Veillonella dispar ATCC 17748
0.0604	151	Leeuwenhoekiella blandensis MED217
0.0588	147	Listeria welshimeri serovar 6b str. SLCC5334
0.0584	146	Janthinobacterium sp. Marseille
0.058	145	Oribacterium sinus F0268
0.0568	142	Ruminococcaceae bacterium D16
0.0568	142	Escherichia coli MS 69-1
0.056	140	Eubacterium saphenum ATCC 49989
0.056	140	Halothermothrix orenii H 168
0.0552	138	Cytophaga hutchinsonii ATCC 33406
0.0552	138	Caulobacter sp. K31
0.0548	137	Streptococcus sanguinis SK36
0.054	135	Clostridium difficile R20291
0.0528	132	Petrotoga mobilis SJ95
0.0508	127	Ethanoligenens harbinense YUAN-3
0.0504	126	Anaerococcus prevotii DSM 20548
0.05	125	Streptococcus equi subsp. zooepidemicus
0.0496	124	Pectobacterium carotovorum subsp. carotovorum PC1
0.0492	123	Eubacterium ventriosum ATCC 27560
0.048	120	Cryptobacterium curtum DSM 15641
0.0472	118	Eubacterium siraeum DSM 15702
0.0464	116	Paenibacillus sp. JDR-2
0.0464	116	Clostridium scindens ATCC 35704
0.0456	114	Mycoplasma gallisepticum str. R(low)
0.0456	114	Bacillus atrophaeus 1942
0.0448	112	Ralstonia solanacearum GMI1000
0.0444	111	Abiotrophia defectiva ATCC 49176
0.0432	108	Escherichia coli B185
0.0428	107	Escherichia coli H736
0.0412	103	Syntrophothermus lipocalidus DSM 12680
0.0392	98	Polaribacter irgensii 23-P
0.0388	97	Rhodoferax ferrireducens T118
0.0388	97	Streptococcus pyogenes MGAS2096
0.0388	97	Bacteroides cellulosilyticus DSM 14838
0.0376	94	Dyadobacter fermentans DSM 18053
0.0372	93	Parabacteroides sp. D13
0.0372	93	Treponema pallidum subsp. pallidum str. Nichols
0.0372	93	Eggerthella lenta DSM 2243
0.0368	92	Clostridium cellulolyticum H10
0.0368	92	Fibrobacter succinogenes subsp. succinogenes S85
0.0364	91	Bifidobacterium longum subsp. infantis ATCC 15697
0.0364	91	Bacteroides coprocola DSM 17136
0.0364	91	Exiguobacterium sibiricum 255-15
0.036	90	Macrococcus caseolyticus JCSC5402
0.0356	89	Lactobacillus fermentum 28-3-CHN
0.0352	88	Crocosphaera watsonii WH 8501
0.0348	87	Paenibacillus sp. Y412MC10
0.0348	87	Thermoanaerobacter tengcongensis MB4
0.0348	87	Brachyspira murdochii DSM 12563
0.0348	87	Escherichia coli UTI89
0.0344	86	Holdemania filiformis DSM 12042
0.0332	83	Bifidobacterium longum subsp. infantis ATCC 55813
0.0332	83	Clostridium botulinum A str. Hall
0.0324	81	Atopobium parvulum DSM 20469
0.0324	81	Lactobacillus salivarius UCC118
0.0324	81	Sebaldella termitidis ATCC 33386
0.032	80	Desulfovibrio vulgaris DP4
0.032	80	Bacteroides intestinalis DSM 17393
0.0316	79	Fusobacterium nucleatum subsp. nucleatum ATCC 25586
0.0312	78	Bacillus cereus ATCC 14579
0.0312	78	Deinococcus geothermalis DSM 11300
0.0312	78	Burkholderiales bacterium 1_1_47
0.0304	76	Thermotoga lettingae TMO
0.0304	76	Colwellia psychrerythraea 34H
0.03	75	Shigella dysenteriae Sd197
0.03	75	Anaerotruncus colihominis DSM 17241
0.03	75	Thermoanaerobacter sp. X513
0.0296	74	Clostridium ramosum DSM 1402
0.0296	74	Symbiobacterium thermophilum IAM 14863
0.0296	74	Sulfurihydrogenibium sp. YO3AOP1
0.0296	74	Tolumonas auensis DSM 9187
0.0292	73	Sphaerobacter thermophilus DSM 20745
0.0288	72	Brachyspira hyodysenteriae WA1
0.0288	72	Lactobacillus casei ATCC 334
0.0284	71	Trichomonas vaginalis G3
0.0284	71	Bacteroides plebeius DSM 17135
0.0284	71	Neisseria gonorrhoeae PID332
0.0284	71	Listeria monocytogenes Finland 1988
0.0284	71	Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853
0.028	70	Geobacillus sp. Y412MC61
0.0276	69	Desulfotomaculum acetoxidans DSM 771
0.0276	69	Clostridium lentocellum DSM 5427
0.0272	68	Streptococcus pneumoniae D39
0.0272	68	Alkaliphilus oremlandii OhILAs
0.0264	66	Caenorhabditis elegans
0.0264	66	Erysipelotrichaceae bacterium 5_2_54FAA
0.0264	66	Chlorobium luteolum DSM 273
0.026	65	Croceibacter atlanticus HTCC2559
0.0256	64	Selenomonas flueggei ATCC 43531
0.0256	64	Caldicellulosiruptor obsidiansis OB47
0.0252	63	Mitsuokella multacida DSM 20544
0.0248	62	Streptococcus thermophilus LMG 18311
0.0248	62	Pasteurella multocida subsp. multocida str. Pm70
0.0244	61	Streptococcus pneumoniae ATCC 700669
0.0244	61	Shewanella sp. W3-18-1
0.024	60	Bifidobacterium dentium ATCC 27678
0.024	60	Clostridium botulinum E1 str. 'BoNT E Beluga'
0.024	60	Geobacter sulfurreducens PCA
0.024	60	Paludibacter propionicigenes WB4
0.0236	59	Catonella morbi ATCC 51271
0.0236	59	Heliobacterium modesticaldum Ice1
0.0232	58	Thermosediminibacter oceani DSM 16646
0.0232	58	Desulfovibrio desulfuricans subsp. desulfuricans str. G20
0.0228	57	Vibrio vulnificus YJ016
0.0224	56	Pseudoramibacter alactolyticus ATCC 23263
0.0224	56	Desulfotomaculum reducens MI-1
0.022	55	Bacteroides sp. 1_1_6
0.0216	54	Listeria monocytogenes serotype 4b str. F2365
0.0212	53	Campylobacter jejuni subsp. jejuni 81116
0.0212	53	Bifidobacterium longum subsp. longum JDM301
0.0208	52	Actinobacillus pleuropneumoniae serovar 1 str. 4074
0.0204	51	Klebsiella pneumoniae subsp. pneumoniae MGH 78578
0.02	50	Caldicellulosiruptor lactoaceticus 6A
0.02	50	Pseudomonas aeruginosa PAO1
0.02	50	Geobacillus sp. Y4.1MC1
0.0196	49	Meiothermus ruber DSM 1279
0.0192	48	Caulobacter crescentus NA1000
0.0188	47	Clostridium difficile QCD-23m63
0.0188	47	Bacteroides finegoldii DSM 17565
0.0188	47	Chlorobium phaeovibrioides DSM 265
0.0184	46	Clostridium cellulovorans 743B
0.0184	46	Acidithiobacillus ferrooxidans ATCC 23270
0.018	45	Cupriavidus metallidurans CH34
0.018	45	Streptococcus gordonii str. Challis substr. CH1
0.018	45	Eubacterium biforme DSM 3989
0.0176	44	Eubacterium dolichum DSM 3991
0.0176	44	Erysipelotrichaceae bacterium 3_1_53
0.0172	43	Culex quinquefasciatus
0.0172	43	Bacillus cytotoxicus NVH 391-98
0.0172	43	Anaerostipes caccae DSM 14662
0.0168	42	Listeria innocua Clip11262
0.0164	41	Flavobacterium johnsoniae UW101
0.0164	41	Bacillus clausii KSM-K16
0.0164	41	Enterococcus faecium TX0082
0.0164	41	Bacillus subtilis subsp. subtilis str. 168
0.016	40	Bacteroides eggerthii DSM 20697
0.016	40	Thermotoga maritima MSB8
0.0156	39	Oceanobacillus iheyensis HTE831
0.0156	39	Shuttleworthia satelles DSM 14600
0.0156	39	Clostridium botulinum C str. Eklund
0.0156	39	Ralstonia eutropha JMP134
0.0156	39	Clostridium difficile NAP07
0.0156	39	Clostridium perfringens C str. JGS1495
0.0152	38	Sinorhizobium medicae WSM419
0.0152	38	Shewanella putrefaciens CN-32
0.0152	38	Trichodesmium erythraeum IMS101
0.0152	38	Paenibacillus polymyxa SC2
0.0148	37	Clostridium botulinum A3 str. Loch Maree
0.0144	36	Maribacter sp. HTCC2170
0.0144	36	Lawsonia intracellularis PHE/MN1-00
0.0144	36	Bacillus anthracis str. Western North America USA6153
0.0144	36	Riemerella anatipestifer DSM 15868
0.0144	36	Thermanaerovibrio acidaminovorans DSM 6589
0.0144	36	Streptococcus parasanguinis ATCC 15912
0.014	35	Corynebacterium glutamicum R
0.014	35	Bacillus weihenstephanensis KBAB4
0.0136	34	Bacillus cereus biovar anthracis str. CI
0.0136	34	Bacillus halodurans C-125
0.0136	34	Clostridium kluyveri DSM 555
0.0136	34	Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365
0.0136	34	Thermosipho africanus TCF52B
0.0136	34	Clostridium methylpentosum DSM 5476
0.0132	33	Azoarcus sp. BH72
0.0132	33	Eubacterium saburreum DSM 3986
0.0128	32	Geobacter metallireducens GS-15
0.0128	32	Ureaplasma parvum serovar 14 str. ATCC 33697
0.0128	32	Prochlorococcus marinus str. MIT 9515
0.0128	32	Sinorhizobium meliloti 1021
0.0124	31	Escherichia coli O157:H7 str. EC4024
0.0124	31	Pedobacter heparinus DSM 2366
0.0124	31	Lactobacillus sakei subsp. sakei 23K
0.0124	31	Akkermansia muciniphila ATCC BAA-835
0.0124	31	Staphylococcus epidermidis RP62A
0.0124	31	Bacillus sp. B14905
0.0124	31	Clostridium difficile QCD-63q42
0.0124	31	Spirosoma linguale DSM 74
0.012	30	Pelotomaculum thermopropionicum SI
0.012	30	Bifidobacterium adolescentis ATCC 15703
0.012	30	Syntrophobacter fumaroxidans MPOB
0.0116	29	Yersinia enterocolitica subsp. enterocolitica 8081
0.0116	29	Caldicellulosiruptor hydrothermalis 108
0.0116	29	Bifidobacterium breve DSM 20213
0.0116	29	Rhodobacter sphaeroides 2.4.1
0.0116	29	Clostridium difficile ATCC 43255
0.0112	28	Desulfotalea psychrophila LSv54
0.0112	28	Acidovorax avenae subsp. avenae ATCC 19860
0.0112	28	Saccharomyces cerevisiae S288c
0.0112	28	Streptococcus parasanguinis F0405
0.0112	28	Bacillus selenitireducens MLS10
0.0112	28	Bacillus thuringiensis serovar konkukian str. 97-27
0.0112	28	Brucella microti CCM 4915
0.0108	27	Pseudoalteromonas sp. SM9913
0.0108	27	Desulfuromonas acetoxidans DSM 684
0.0108	27	Psychrobacter cryohalolentis K5
0.0108	27	Escherichia coli MS 84-1
0.0108	27	Fervidobacterium nodosum Rt17-B1
0.0108	27	Thermococcus kodakarensis KOD1
0.0104	26	Synechococcus elongatus PCC 6301
0.0104	26	Bacteroides sp. 2_1_22
0.0104	26	Clostridium sp. HGF2
0.0104	26	Acetivibrio cellulolyticus CD2
0.0104	26	Bacillus thuringiensis str. Al Hakam
0.0104	26	Anabaena variabilis ATCC 29413
0.01	25	Roseiflexus castenholzii DSM 13941
0.01	25	Chitinophaga pinensis DSM 2588
0.01	25	Pediococcus pentosaceus ATCC 25745
0.01	25	Lactobacillus reuteri DSM 20016
0.0096	24	Escherichia coli BW2952
0.0096	24	Brevibacillus brevis NBRC 100599
0.0096	24	Lactococcus lactis subsp. cremoris MG1363
0.0096	24	Candidatus Pelagibacter ubique HTCC1062
0.0096	24	Veillonella atypica ACS-134-V-Col7a
0.0096	24	Sanguibacter keddieii DSM 10542
0.0096	24	Yersinia kristensenii ATCC 33638
0.0096	24	Caldicellulosiruptor bescii DSM 6725
0.0096	24	Thermincola potens JR
0.0096	24	Bacteroidetes oral taxon 274 str. F0058
0.0096	24	Streptococcus mitis NCTC 12261
0.0096	24	Nostoc sp. PCC 7120
0.0096	24	Streptococcus pyogenes MGAS10750
0.0092	23	Prevotella melaninogenica ATCC 25845
0.0092	23	Porphyromonas gingivalis W83
0.0092	23	Photorhabdus luminescens subsp. laumondii TTO1
0.0092	23	Helicobacter hepaticus ATCC 51449
0.0092	23	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446
0.0092	23	Staphylococcus carnosus subsp. carnosus TM300
0.0092	23	Actinobacillus succinogenes 130Z
0.0088	22	Arthrobacter sp. FB24
0.0088	22	Rattus norvegicus
0.0088	22	Bordetella bronchiseptica RB50
0.0088	22	Porphyromonas gingivalis ATCC 33277
0.0088	22	Yersinia pestis Antiqua
0.0088	22	Geobacillus thermodenitrificans NG80-2
0.0088	22	Lutiella nitroferrum 2002
0.0088	22	Thermoanaerobacterium thermosaccharolyticum DSM 571
0.0088	22	Enterococcus faecalis TX0470
0.0084	21	Bacillus subtilis subsp. subtilis str. NCIB 3610
0.0084	21	Geobacter uraniireducens Rf4
0.0084	21	Burkholderia xenovorans LB400
0.0084	21	Candidatus Nitrospira defluvii
0.0084	21	Volvox carteri f. nagariensis
0.0084	21	Streptococcus pneumoniae str. Canada MDR_19F
0.0084	21	Bacillus cellulosilyticus DSM 2522
0.008	20	Fusobacterium nucleatum subsp. polymorphum ATCC 10953
0.008	20	Clostridium thermocellum JW20
0.008	20	Thermobifida fusca YX
0.008	20	Bifidobacterium longum DJO10A
0.008	20	Escherichia coli SMS-3-5
0.008	20	Haemophilus influenzae Rd KW20
0.008	20	Desulfovibrio desulfuricans subsp. desulfuricans str. ATCC 27774
0.008	20	Streptococcus pyogenes MGAS10270
0.008	20	Prochlorococcus marinus str. MIT 9301
0.008	20	Bacteroides sp. 1_1_14
0.0076	19	Brachyspira pilosicoli 95/1000
0.0076	19	Bacillus licheniformis ATCC 14580
0.0076	19	Arcanobacterium haemolyticum DSM 20595
0.0076	19	Escherichia coli E110019
0.0072	18	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2
0.0072	18	Gramella forsetii KT0803
0.0072	18	Salmonella enterica subsp. enterica serovar Typhi str. E02-1180
0.0072	18	Thermosipho melanesiensis BI429
0.0072	18	Streptococcus thermophilus CNRZ1066
0.0072	18	Streptococcus pyogenes M1 GAS
0.0072	18	Methanococcus maripaludis C5
0.0072	18	Chloroflexus aggregans DSM 9485
0.0072	18	Corynebacterium glutamicum ATCC 13032
0.0068	17	Candidatus Desulforudis audaxviator MP104C
0.0068	17	Dialister microaerophilus UPII 345-E
0.0068	17	Plasmodium knowlesi strain H
0.0068	17	Escherichia sp. 3_2_53FAA
0.0068	17	Streptococcus sp. oral taxon 071 str. 73H25AP
0.0068	17	Thermoanaerobacter italicus Ab9
0.0068	17	Bacillus pseudofirmus OF4
0.0068	17	Escherichia coli MS 45-1
0.0068	17	Veillonella sp. 6_1_27
0.0068	17	Streptococcus pneumoniae 70585
0.0068	17	Pelobacter carbinolicus DSM 2380
0.0068	17	Methylococcus capsulatus str. Bath
0.0068	17	Streptococcus vestibularis F0396
0.0064	16	Oribacterium sp. oral taxon 078 str. F0262
0.0064	16	Thiobacillus denitrificans ATCC 25259
0.0064	16	Herpetosiphon aurantiacus ATCC 23779
0.0064	16	Shewanella sediminis HAW-EB3
0.0064	16	Escherichia coli MS 21-1
0.0064	16	Leptothrix cholodnii SP-6
0.0064	16	Thermotoga petrophila RKU-1
0.0064	16	Lactobacillus gasseri 202-4
0.0064	16	Thermomicrobium roseum DSM 5159
0.0064	16	Exiguobacterium sp. AT1b
0.0064	16	Burkholderia ambifaria AMMD
0.0064	16	Enterococcus faecium 1,231,502
0.0064	16	Pectobacterium atrosepticum SCRI1043
0.006	15	Escherichia coli APEC O1
0.006	15	Bacillus cereus 03BB108
0.006	15	Escherichia coli MS 200-1
0.006	15	Oenococcus oeni PSU-1
0.006	15	Marinomonas sp. MWYL1
0.006	15	Flavobacterium psychrophilum JIP02/86
0.006	15	Enterobacter cloacae SCF1
0.006	15	Geobacter bemidjiensis Bem
0.006	15	Nitratiruptor sp. SB155-2
0.006	15	Bacteroides sp. 9_1_42FAA
0.006	15	Streptococcus uberis 0140J
0.006	15	Desulfovibrio piger ATCC 29098
0.006	15	Streptococcus anginosus F0211
0.0056	14	Lactobacillus salivarius ATCC 11741
0.0056	14	Bacillus amyloliquefaciens DSM7
0.0056	14	Burkholderia sp. CCGE1003
0.0056	14	Burkholderia ambifaria MC40-6
0.0056	14	Fusobacterium varium ATCC 27725
0.0056	14	Selenomonas sputigena ATCC 35185
0.0056	14	Desulfobacterium autotrophicum HRM2
0.0056	14	Listeria monocytogenes FSL J2-003
0.0056	14	Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2
0.0056	14	Pseudomonas syringae pv. syringae FF5
0.0056	14	Ralstonia eutropha H16
0.0056	14	Thermococcus onnurineus NA1
0.0056	14	Enterococcus faecalis JH1
0.0056	14	Ralstonia pickettii 12D
0.0056	14	Pelagibaca bermudensis HTCC2601
0.0056	14	Streptococcus agalactiae CJB111
0.0056	14	Bacillus coagulans 36D1
0.0056	14	Methanococcus aeolicus Nankai-3
0.0052	13	Thermaerobacter marianensis DSM 12885
0.0052	13	Geobacillus sp. G11MC16
0.0052	13	Lactobacillus brevis ATCC 367
0.0052	13	Vibrio cholerae 1587
0.0052	13	Staphylococcus haemolyticus JCSC1435
0.0052	13	Bradyrhizobium japonicum USDA 110
0.0052	13	Lactobacillus casei BL23
0.0052	13	Chlorobium tepidum TLS
0.0052	13	Candidatus Phytoplasma mali
0.0052	13	Homo sapiens
0.0052	13	Bacillus cereus ATCC 10987
0.0052	13	Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7
0.0048	12	Sorghum bicolor
0.0048	12	Corynebacterium efficiens YS-314
0.0048	12	Lactobacillus reuteri 100-23
0.0048	12	Veillonella sp. oral taxon 158 str. F0412
0.0048	12	Salmonella enterica subsp. enterica serovar Typhi str. Ty2
0.0048	12	Polaromonas sp. JS666
0.0048	12	Roseobacter denitrificans OCh 114
0.0048	12	Dechloromonas aromatica RCB
0.0048	12	Clostridium perfringens ATCC 13124
0.0048	12	Prevotella copri DSM 18205
0.0048	12	Denitrovibrio acetiphilus DSM 12809
0.0048	12	Enterobacter sp. 638
0.0048	12	Vibrio harveyi HY01
0.0048	12	Streptococcus pyogenes MGAS8232
0.0048	12	Listeria monocytogenes serotype 4b str. H7858
0.0048	12	Enterococcus gallinarum EG2
0.0048	12	Anaerococcus tetradius ATCC 35098
0.0048	12	Finegoldia magna ATCC 29328
0.0048	12	Bacillus megaterium QM B1551
0.0048	12	Bacteroides vulgatus PC510
0.0048	12	Desulfohalobium retbaense DSM 5692
0.0048	12	Chromobacterium violaceum ATCC 12472
0.0048	12	Caldicellulosiruptor kristjanssonii 177R1B
0.0048	12	Peptostreptococcus stomatis DSM 17678
0.0048	12	Azotobacter vinelandii DJ
0.0044	11	Escherichia coli E24377A
0.0044	11	Vibrio splendidus LGP32
0.0044	11	Bacillus anthracis str. A0442
0.0044	11	Streptosporangium roseum DSM 43021
0.0044	11	Parabacteroides merdae ATCC 43184
0.0044	11	Actinosynnema mirum DSM 43827
0.0044	11	Streptococcus pseudoporcinus SPIN 20026
0.0044	11	Lactobacillus brevis subsp. gravesensis ATCC 27305
0.0044	11	Rickettsia bellii OSU 85-389
0.0044	11	Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1
0.0044	11	Shewanella halifaxensis HAW-EB4
0.0044	11	Lactobacillus rhamnosus LMS2-1
0.0044	11	Methanosphaera stadtmanae DSM 3091
0.0044	11	Streptococcus gallolyticus subsp. gallolyticus TX20005
0.0044	11	Renibacterium salmoninarum ATCC 33209
0.004	10	Desulfatibacillum alkenivorans AK-01
0.004	10	Lactobacillus acidophilus NCFM
0.004	10	Salmonella enterica subsp. enterica serovar 4,[5],12:i:- str. CVM23701
0.004	10	Haliangium ochraceum DSM 14365
0.004	10	Bulleidia extructa W1219
0.004	10	Actinomyces viscosus C505
0.004	10	Hyphomonas neptunium ATCC 15444
0.004	10	Nitrosomonas sp. AL212
0.004	10	Aciduliprofundum boonei T469
0.004	10	Streptococcus sp. 2_1_36FAA
0.004	10	Prevotella bryantii B14
0.004	10	Lactococcus lactis subsp. lactis Il1403
0.004	10	Staphylothermus marinus F1
0.004	10	Acidobacterium sp. SP1PR4
0.004	10	Streptococcus pyogenes MGAS6180
0.004	10	Nitrosomonas eutropha C91
0.004	10	Sulfolobus islandicus Y.G.57.14
0.004	10	Fusobacterium ulcerans ATCC 49185
0.004	10	Lysinibacillus sphaericus C3-41
0.004	10	Streptomyces coelicolor A3(2)
0.004	10	Vibrio fischeri ES114
0.004	10	Corynebacterium jeikeium ATCC 43734
0.004	10	Streptococcus pneumoniae 670-6B
0.004	10	Burkholderia dolosa AUO158
0.004	10	Bacillus megaterium DSM 319
0.004	10	Dictyoglomus thermophilum H-6-12
0.004	10	Chloroherpeton thalassium ATCC 35110
0.0036	9	Zunongwangia profunda SM-A87
0.0036	9	Pseudomonas syringae pv. tomato str. DC3000
0.0036	9	Amycolatopsis mediterranei U32
0.0036	9	Peptostreptococcus anaerobius 653-L
0.0036	9	Natranaerobius thermophilus JW/NM-WN-LF
0.0036	9	Lactobacillus fermentum IFO 3956
0.0036	9	Mycobacterium smegmatis str. MC2 155
0.0036	9	Pseudoalteromonas atlantica T6c
0.0036	9	Neisseria meningitidis FAM18
0.0036	9	Thermosynechococcus elongatus BP-1
0.0036	9	Brachybacterium faecium DSM 4810
0.0036	9	Neptuniibacter caesariensis
0.0036	9	Burkholderia pseudomallei 1710a
0.0036	9	Enterobacter cloacae subsp. cloacae ATCC 13047
0.0036	9	Candidatus Solibacter usitatus Ellin6076
0.0036	9	Bacteroides dorei 5_1_36/D4
0.0036	9	Yersinia pestis KIM 10
0.0036	9	Marivirga tractuosa DSM 4126
0.0036	9	Asticcacaulis excentricus CB 48
0.0036	9	Chloroflexus aurantiacus J-10-fl
0.0036	9	Allochromatium vinosum DSM 180
0.0036	9	Bacillus cereus B4264
0.0036	9	Nitrosomonas europaea ATCC 19718
0.0036	9	Clostridium botulinum Ba4 str. 657
0.0036	9	Escherichia coli O157:H7 str. EDL933
0.0036	9	Escherichia coli FVEC1302
0.0036	9	Conexibacter woesei DSM 14684
0.0036	9	Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67
0.0036	9	Methylotenera sp. 301
0.0036	9	Sulfuricurvum kujiense DSM 16994
0.0036	9	Geobacillus sp. WCH70
0.0036	9	Bacteroides stercoris ATCC 43183
0.0036	9	Campylobacter gracilis RM3268
0.0036	9	Halorhodospira halophila SL1
