Number of total reads: 		250000
Number of unique reads: 	6503
Number of unique transcripts: 	6503
Number of unique organisms: 	305

Percent of total	Count	Species name
0.1552	388	aminoacyl-histidine dipeptidase	07d01254ce797d6b9d26432ccf810f3a
0.154	385	50S ribosomal protein L3	01c4648b1f518209dd1145e5778b0b66
0.1536	384	iron-containing alcohol dehydrogenase	000680bc3b8c2c2f2616a8c0c4782d11
0.1532	383	glycine amidinotransferase	0a7a1fed5826eb9c295c1bda70ea5ec1
0.1504	376	DNA-directed RNA polymerase subunit beta''	010d8c9934f440a6f5b5e128d32b4ecd
0.1484	371	30S ribosomal protein S15	05ca8b07e2ffc62540bb6982549126f5
0.1472	368	Rubrerythrin	067274490496b5b236c8791aafabbcfb
0.1448	362	glucosamine-6-phosphate isomerase	0559969fd1d66533bad6eb1f16900c27
0.1428	357	outer membrane protein SusF	094161d6952b44e76f1027f769b6e574
0.1412	353	putative transposase	009148614b716238a026db02d8f3ebe3
0.138	345	polynucleotide phosphorylase/polyadenylase	017ac1f34184bb1019299cd701293345
0.136	340	50S ribosomal protein L2	00d9e86f34937b014c913bfb0c660388
0.1348	337	pyruvate carboxylase subunit B	053a8a800790b5818ad8def3f613f47b
0.1316	329	ATP synthase F	00670ea4f36826e3b12550f67fe52fb6
0.1308	327	NUDIX hydrolase	004eadf116b7dd284b7ebaafe6936854
0.1292	323	glycosyltransferase 36	031bf103d9e9af6a9174ed364d0246ca
0.1284	321	sugar ABC transporte	031186aa929c3f21367f605d981d6127
0.126	315	dihydrodipicolinate synthase	00b1b833a90a53c6c96f9e1db45ed4fd
0.124	310	30S ribosomal protein S8	0225b24bb2639395512aa0ec0d2c295c
0.1232	308	methionyl-tRNA synthetase	081b2fb4371135f45f951fa30e47ff86
0.1224	306	extracellular solute-binding protein family 1	01a43316a9c81dc5e0e541a9b07af49a
0.1208	302	phosphoribosylformylglycinamidine synthase	019a776263024dd30d4b367aa5f5719d
0.1188	297	rubrerythrin	08d1e878ebdebeb6b512434aa50373af
0.1188	297	RNA polymerase subunit alpha	0912942360370d65181fd20975837f40
0.1172	293	leucyl-tRNA synthetase	0218f46b860936e26ac134f3dfb21b97
0.116	290	50S ribosomal protein L19	01a39dc4a9f24b666d0558581d98e0fb
0.1156	289	glycoside hydrolase family protein	00ddeb0ffe67016f37180d6f7f6ecd72
0.1156	289	transcription antitermination protein NusG	018fde3ae3086b723798c4399bf39c73
0.1152	288	preprotein translocas	013a72f12f3e63085ff421de9a883d6b
0.1148	287	altronate oxidoreductase	067132bf8537553803b0c1320a968b36
0.1132	283	translation elongation factor G	005743197f5394baa5f448c056fdae0b
0.112	280	cell division protein FtsZ	00b5c23bde4569d79978b974db8345e7
0.1104	276	Small acid-soluble spore protein (alpha-type SASP)	0cb4dd87ca17294b04cfb31127441014
0.11	275	fructose-bisphosphate aldolase	000ef4a0d748d29666c0e65f52bc454e
0.1084	271	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	00c0938219f0431f7832f9854dd4cb1d
0.104	260	ABC transporter related protein	026845e4ea2d615a67c1fe8fc2c086f3
0.1032	258	30S ribosomal protein S13	042a9fc73e19ab0922fda2207fb4f1ab
0.1028	257	extracellular solute-binding protein family 1 protein	0300a5e82b688656f67e01b064a4027f
0.1024	256	PTS syste	0346857d094eb07105094021f355fa86
0.102	255	phosphoglucomutase/phosphomannomutase alpha/beta/alpha domain I	00e15abe0be114e52f518dc2e25614d6
0.1	250	DNA-binding protein HU-beta	150986fbe1a6191c72380442a480358e
0.0996	249	cell division protein ftsZ	13322389a62fa7c806472df442a8061a
0.0992	248	ATPase	0042c77cef5fd68ec47a5e2685c3ec7d
0.0976	244	valyl-tRNA synthetase	007e887033256383fa0ea2e7b2d5d6b8
0.0964	241	glyceraldehyde-3-phosphate dehydrogenas	0015fd1addac24907051fd6875b7cbb0
0.096	240	transketolas	00019f9ee2a11280e800d5016c132e3b
0.0948	237	ribosomal protein L11	0549aac167945c3e670fd130eccfe220
0.0928	232	binding-protein-dependent transport systems inner membrane component	000c824397e277a961c29e96470e4d58
0.0924	231	transcriptional regulator	00a056bfbcc6667caf763fcefc49c4fb
0.092	230	recombinase A	032b0d1f018ab2443cd9e85381923602
0.0904	226	L-arabinose isomerase	0909b3d83636706726f0f531e9ad800f
0.09	225	glucose-1-phosphate adenylyltransferase	01d1a13df5f7fad0bf6d4b5ece200971
0.0896	224	50S ribosomal protein L31	0541bd9fc877c32c2804d3133c2ea13f
0.0888	222	DNA-directed RNA polymerase subunit beta	009438f62418fc0aecfa20dc6cc6c16d
0.088	220	50S ribosomal protein L15	00ae199d26950e9f9d76cdbbdb2ed567
0.088	220	band 7 protein	0aa1e85009b9c125807028cbe1eda6c5
0.0876	219	ribosomal protein L17	01abdd65c848c41b8eb7612b6a9dbd34
0.0868	217	ATP-dependent metalloprotease FtsH	00155ef5764231a4f16e8f2b249f3882
0.0864	216	transposas	00f5e62285ccf9ef75a138ba5388e94e
0.0848	212	ABC transporter ATP-binding protein	0006dda22b0015a38096b05a2618c491
0.0848	212	translation initiation factor IF-2	004317aa7b6ec9d660ccd611c5ce5e87
0.0844	211	phosphoenolpyruvate carboxykinase (ATP)	0090f5937fcb233eb9a32273888d6c19
0.0832	208	UDP-glucose 4-epimerase	000a26c797b854874ec9ae28f6b10b7f
0.0832	208	corrinoid/iron-sulfur protei	1823d58ca440f875113074c4af4d388b
0.082	205	glycosyl hydrolas	00b5a9d3e2133d7c173b8683cbfabacb
0.0816	204	myosin-cross-reactive antigen	032695e79a76f697342a33eb0b4101a4
0.0812	203	30S ribosomal protein S12	004cd1de7b26980db99c3c1a347dcb6e
0.0808	202	multiple sugar-binding transport ATP-binding protein MsmK	06ce4b8e1bdb3d456ed77ba96d452588
0.08	200	50S ribosomal protein L34	05e51ea8242c974ff6f259e69d27ae8f
0.08	200	flagellin domain-containing protein	12d7f974e43060a7099d9604cbb431cc
0.0792	198	AcrB/AcrD/AcrF family transporter	0ae5c43d9244fa9c16305a77040eee02
0.0788	197	DNA gyras	008894d6376f820ffc4350fb3e029238
0.0788	197	transketolase	00d2fe3c07dd71ba388e3da78297ee1e
0.0784	196	isoleucyl-tRNA synthetase	010b555abf8dcb4339c76386ce31f900
0.078	195	aspartate kinase	021c45cccffb923dd03fe0d0374fdc8c
0.078	195	50S ribosomal protein L17	026618ff98372dbac64e7adca6997740
0.0776	194	3-hydroxybutyryl-coA dehydratase	0164a4689ae62138f6e4a288ff66efb7
0.0776	194	putative cell surface protein	0c7adfdfa13e765ca32193511bbc083c
0.0772	193	phosphopyruvate hydratase	0118d36bc649d13bc6f7432d278034db
0.0772	193	F0F1 ATP synthase subunit beta	0238bcb5628c0782eec2369e200662f9
0.0768	192	phosphoglycerate mutas	02038921fd172d608f4e96f3b76de704
0.0768	192	50S ribosomal protein L23	00aa382e4db677d3467f102e2361198a
0.076	190	alanine dehydrogenase	00e7d07247e2cd0f3a978e4f433f9016
0.0756	189	integras	0f202fb8277659c294d54c79edf68b67
0.0756	189	peptidas	033536308ce6c4ef7016fa3cebcd6fb9
0.0748	187	stage IV sporulation protein A	030d98b12b3975094e79220f79dcc073
0.0748	187	rod shape-determining protein MreB	0319115d9877bd680d036118fa5cb539
0.0744	186	F5/8 type C domain protein	099f2372a98ae0fc9b2c94c6d9d22d40
0.0744	186	putative lipoprotein	027f154b9af31a9e33d1f9ae81195dbd
0.0716	179	pyruvate kinase	02ddc31541f9649a23839617fa798c00
0.0712	178	TonB-dependent receptor plug domain protein	04f1203f6a59053960d062d085e4b2f8
0.0708	177	Ribosomal protein L25/L23	14bd1333e3cab0ce0c0b3557f91caf3f
0.0704	176	sugar ABC transporter permease	0260c04ee95a1cabec19345fe2c42587
0.0704	176	inner-membrane translocator	0064629591d18fd538fa4ea9345798e9
0.07	175	30S ribosomal protein S1	005c0e7c9fdca0b14f0344a9730a0f9e
0.07	175	carboxyl transferase	03675f6425cb04d4ce71740d7246bfb0
0.0696	174	isocitrate dehydrogenas	15d9cd4d82436fb6bd529042c7cc9200
0.0684	171		002d652d9ea7474fc44eb290ad9883a7
0.0672	168	NADPH-dependent butanol dehydrogenase	04fdea6c94affc1fedd53995a5fb0b69
0.0668	167	glycoside hydrolase family beta-glycosidase	00bad8c3d48f12476b6fbbc6f40e1a2f
0.0668	167	propanediol utilization protein	03127c756713b14a2729d1dfe79a5e84
0.0668	167	50S ribosomal protein L18	06550b86d3e6e8c25b7daf8d8651d2be
0.0668	167	PTS system N-acetylgalactosamine-specific IID component	10bfe5ea444321bff09e69fbfe98a53d
0.0668	167	galactoside ABC transporte	091b5aab8630a445fcff8f645abd03e4
0.0664	166	membrane-bound proton-translocating pyrophosphatase	06d5564c4659f2791ba4edf626894533
0.0664	166	methylmalonyl-CoA mutase	075adba32b33da69f1229c25b2bd381f
0.0656	164	ATP-dependent Clp protease	0a202ace61f1780b415ff9fa98e84904
0.0656	164	methionine aminopeptidas	01139c8ca343b31c2539bddbb6094c26
0.0652	163	methionine--tRNA ligase	0ab25446c80dc9c8c13970ada1a41fac
0.0652	163	beta-glucosidase	0604b316c30400eca378290cd348be55
0.0632	158	triosephosphate isomerase	080c8395c5b36805dc9d1e3b463bd8b3
0.0628	157	ribosomal subunit interface protein	03239ae7c1410e745570d3ce3e835b7a
0.0624	156	formate--tetrahydrofolate ligase	006375ca6349a24f3dc197af9172b038
0.0624	156	diaminopimelate decarboxylase	000653f0f2599fba1ee14b49ea954d33
0.0624	156	50S ribosomal protein L6	007defaabfa2b77bdd5b8456faf21820
0.0624	156	chaperonin GroL	005036614e4b1b4c4f17edbec117a956
0.0624	156	pyruvate:ferredoxin oxidoreductase	0ab69b10e75697f715d187f0eee81c24
0.062	155	metalloprotease FtsH	06dfcb3ad8d1073d91f39f360215a664
0.0616	154	F0F1 ATP synthase subunit alpha	00ae45fcd8184043682f5c6e167ca474
0.0608	152	30S ribosomal protein S5	01b17987e0c6ec52ec2bf3d3bf73d786
0.0604	151	50S ribosomal protein L33	068f5872f7a398ec733bc16c80c873d6
0.0584	146	fumarate lyase	0113546a201868b26648cff70e3fa31f
0.0584	146	methyl-accepting chemotaxis protein	02a9491d08f2027a5042e0b22576f817
0.058	145	electron transport comple	02779ffd90fda7f362dfa7fdc30aadc1
0.058	145	ATP-dependent protease ATP-binding subunit ClpX	000a0eb3d4b6715f04d7e19a22ffa245
0.0576	144	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	00ebb779514583fbf95ff629c612fc5e
0.0572	143	adenylosuccinate synthase	08a0cb969150150fd9d22a2d069506e6
0.0568	142	chorismate synthase	00d6deefc81863769a75fad8bbeec665
0.0568	142	rubredoxin/rubrerythrin	0e51b068739c848ff431d075dfb09f0d
0.0564	141	threonyl-tRNA synthetase	057c40ee47e1170fada163efed465e3f
0.0564	141	pyruvate:ferredoxin (flavodoxin) oxidoreductase	08ffe21f7bc330037ec46dbfdd4a9210
0.056	140	6-phosphofructokinase	003aa4734ad0808043e30b865486f87d
0.0548	137	uracil permease	0142e590e5a9ea37868c10e36c9f2112
0.0548	137	GTP-binding protein EngA	009b10fa6029c98757d583812cd61be4
0.0548	137	phosphoglucomutase phosphomannomutase	1644b594cd37d653ec85ba5c4644eb6a
0.0544	136	ribosomal protein L33	0412134fbbca3a684e819133c6d797db
0.0544	136	beta-N-acetylhexosaminidase	073a57a040f244a21dbba950ee5af5b6
0.0544	136	ATP synthase subunit beta	0842732773c7a677a4f973c8ebc84c5e
0.0544	136	TrkA-C domain protein	0cb8054933da0522d8d205db6639cf28
0.054	135	methylenetetrahydrofolate reductase	0d855e3b506be2adc9813990e618852c
0.0536	134	septum site-determining protein MinD	070553729b3c5dfe9dc85569817935c6
0.0528	132	4-hydroxythreonine-4-phosphate dehydrogenase	16722e68970f8dbd6f28577d9d356bb9
0.0528	132	ribosomal protein L5	005df817c8e1a7927e25e453fda753bc
0.0528	132	putative carbon monoxide dehydrogenase/acetyl-CoA synthase comple	0c1da997dc3d7469367a09f61b6145a0
0.0528	132	acetate kinase	017ba32fe32f8301485ffd88ffe0b998
0.0528	132	4-alpha-glucanotransferase	00cb1b2df10efcf11fdb367dfa71c26f
0.052	130	d-proline reductase proprotein prda [contains: d-proline reductase subunit beta (d-proline reductase 45 kda subunit)	12e008b723248effb2f6b92b592314a5
0.052	130	argininosuccinate synthase	04ea0810b3bfed8f9d391b9b741d15b6
0.052	130	anaerobic ribonucleoside triphosphate reductase	01c68d8ea99874445781dfd12ab7eeb8
0.052	130	putative dipeptide ABC transporter substrate-binding protein	0cc5e31f02a88db8410dc20f905778c8
0.0516	129	phosphoribosylaminoimidazole-succinocarboxamide synthase	097939e6864d66318e935dde23c113d6
0.0516	129	ribosomal protein S15	022d2ad80b55212fd36bd3388a76a8d2
0.0516	129	30S ribosomal protein S21	04f80351044e891716dbe6dd3baa7659
0.0512	128	HDIG domain protein	1279057197b74024ecbee4235583dea1
0.0512	128	2-oxoglutarate/malate translocator	0f108c167801ba9dad97c0f476023da6
0.0512	128	mannonate dehydratase	06fbb2524e88eef685b122f61953df29
0.0512	128	modulation of CheA activity in response to attractants (chemotaxis protein)	121add6a2ac15d53460518f8c3ab2f07
0.0504	126	two component transcriptional regulator	03bd788d532c50f7a9c29da78982eb28
0.05	125	sodium ion-translocating decarboxylas	00c699e0a74b85ab38038872bfd6c84f
0.0496	124	2-isopropylmalate synthase	046dfd3026e3c3cc58c2c7dda9eb0f06
0.0492	123	uracil phosphoribosyltransferase	000ca0994cc6bc31569300a3f3770368
0.0492	123	ribosomal protein L27	0a8982a0cca36e0d7b65672ea550f9eb
0.0492	123	putative oxidoreductase	00be4216d949eda3f3a21c53ce9d5632
0.0488	122	putative endopeptidase	0e5aff3c37ad03045c8b2b1d874c6971
0.0488	122	threonine dehydratase	00b4011568a9e47e5f0c411786d75d6b
0.0488	122	indolepyruvate oxidoreductase subunit	0e99db5aaec8b9b2ffa5224aa4178401
0.0484	121	cellulose	1602a5fac533c5a2b0dbbf92560003b8
0.0484	121	pyridine nucleotide-disulfide oxidoreductase	00e3c902ccec38dcb4e6b4265be4a551
0.0484	121	NADP-specific glutamate dehydrogenase	007e073a3c9f6830b68eb2be2123247b
0.0484	121	glutamate dehydrogenase (NADP(+))	160a587709727770f02c9aa88ff50378
0.048	120	NADH:ubiquinone oxidoreductas	030d82778601d8936ed21ccb9b301efc
0.048	120	50S ribosomal protein L24	08dd970f5105fb6534b0b0817b92db83
0.0472	118	sugar ABC transporter substrate-binding protein	03dad6e6c9ae0d1a397bf0389d70a13d
0.0472	118	fatty acid/phospholipid biosynthesis enzyme	0e257ddb5c50228dd884704dbd32c5f1
0.046	115	RNA-binding protein	033ffacba8869bace001096effc1827e
0.046	115	putative aldehyde oxidoreductase	0ca5fe0f5bbd4cb521376ae0a70551b3
0.0456	114	type II restriction-modification enzyme	0b7835c8ef11e41e14b5cb601a196042
0.0456	114	methyl-accepting chemotaxis protein (MCP)	074dd1ece84694cd7b584e3cb322e919
0.0452	113	ATP-dependent Clp proteas	00ffb06b5a699c6e9207e8d0119d0fbc
0.0452	113	glycoside hydrolase family 3 domain protein	0030e50a445283fcea02947cff68e1f8
0.0448	112	putative outer membrane protein	014b3bb10f740984953bbd69d9a96df9
0.0448	112	heavy-metal transporting P-type ATPase	0189cd17eae59bd55b45c6357a0d9455
0.0444	111	30S ribosomal protein S6	032b443537998c72f9f9e34b016e2206
0.0444	111	pectin methylesterase Pme8B	030691226b87f5992398cbbfe447955f
0.0444	111	aminotransferase class I and II	0100f4b3455d9973233edc51c783c5af
0.0444	111	two-component system sensor histidine kinase/response regulator	08ebb2ae4fc7b1aba5ebdecd842f07f1
0.044	110	efflux ABC transporte	01c1a87664a6477c1dd21299671a1628
0.0436	109	putative bifunctional UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase/alanine racemase	0a72bf3c93789712c3aa4392aa474e03
0.0436	109	spovs	11cf1a6cc6366604b0d0f2c76df4c1ed
0.0432	108	imidazole glycerol phosphate synthase subunit HisH	0754e7d5a64e48eb5b58d1cff696baaa
0.0432	108	threonine synthase	01b0a8707bffd521dab288d5a1d7a45e
0.0432	108	phosphomannomutase	0161ddaa447e1f26a3629cc169433e41
0.0432	108	ornithine carbamoyltransferase	07265865668eb382e5b9d79bdb7100dd
0.0428	107	ATP-dependent chaperone protein ClpB	09efac11ff9cab005b52d6ee6d51283c
0.0424	106	ribosomal protein L15	02b764e93badfb1ea0f8e196ac6c2881
0.0424	106	DNA polymerase III PolC	054cdbd8a5ea3bbcf7577df729f83913
0.0424	106	Smal	1133b09810e7acd3bb9a15672c4ab7bb
0.042	105	phosphocarrier protein HPr	08a75dadb5488b52fafa7d1801b315a5
0.0416	104	cold-shock DNA-binding domain-containing protein	092a1e7cf99d2e6a3785920708ac9d99
0.0416	104	putative Na+-dependent phosphate transporter	030cda09b976dac6766ff2b4d75fd9cf
0.0412	103	ribosomal protein L18	055116ccf836c51af77420cf812a5ebd
0.0412	103	putative transcription antitermination protein	142cecca5d8ffb9ff1343e3c0e08454d
0.0412	103	phosphoglyceromutase	02379682864dc0f821e16dfee4a57e98
0.0412	103	putative domain of unknown function	0da953ff3a8571b5b052bbc3877cc385
0.0412	103	elongation factor Ts	00f81025cdce71c8e2088bbb4a0f1414
0.0408	102	peptidyl-prolyl cis-trans isomerase	00b2a0d2a227f630e5d527adf90d6440
0.0408	102	V-type ATP synthase subunit A	00c6a3443cc8344bcdeb1f72fde03c46
0.0404	101	SpoVT/AbrB-like protein	0711a07daeb1784944af9101081bfa6c
0.0404	101	phosphoserine aminotransferase	017d188dd7bb8164b4cb6539f167f567
0.04	100	glycosidase PH1107-related	14ceee0db6097bd982b4bb6efac4d2b0
0.04	100	CobQ/CobB/MinD/ParA nucleotide binding domain protein	014cdf710df3ba11da9592e8430f5a2c
0.04	100	CTP synthetase	01c1fb433234a0a39d3d9b08a9dbcb42
0.04	100	Glycosyltransferase Family 5 candidate glycogen synthase	11c2b86e0ed21a535405044d9edcf243
0.04	100	glutaconyl-CoA decarboxylase A subunit	0334b1fb666335d68f3adb5d65df8642
0.04	100	serine protease inhibitor family protein	0b6852c720741a891d431963d20364d8
0.0396	99	50S ribosomal protein L21	033763f0526d601094d734a4cbdefb5a
0.0392	98	SsrA-binding protein	068f648a5e32f306949369cae7e10fdf
0.0392	98	ABC transporter-like protein	039a7fb6ded665906093690f5d624240
0.0392	98	PTS system mannose/fructose/sorbose family IID component	0079cb8f44d64b110ce025485725092c
0.0392	98	alpha-glycosidase	0d88d0175e7305199813890751158c3f
0.0392	98	phosphoglucosamine mutase	00f8337bd7e12b371c362c0c83b1b71b
0.0388	97	adenylosuccinate synthetase	032ba2d0fe87886246d5b03b3d71eb9e
0.0388	97	preprotein translocase subunit SecY	0056c0e997f815853c26a087f78434b2
0.0388	97	oligopeptide/dipeptide ABC transporter ATPase subunit	0efee6586fee8ae2b4b288ed6981b579
0.0388	97	two-component system sensor histidine kinase	0120ab5be1631154dc8d11f0bb587da7
0.0384	96	1-deoxy-D-xylulose 5-phosphate reductoisomerase	0054c6eb1a985a53810b60260db7780b
0.0384	96	serine hydroxymethyltransferase	031710b6ad16a8066b63b375a4aa3b65
0.0384	96	RNA polymerase ECF-type sigma factor	0233d5c4f35e76f4457f2efe0ff3acec
0.038	95	uncharacterized flagellar protein FlaG	0be9dcbc36599b4ab088d4d663bac42c
0.038	95	preprotein translocase SecY subunit	09da9e67db6e130ae3293edec1005c28
0.038	95	DNA polymerase II	00c71ba7d6353de8675b4d073b100892
0.038	95	putative thiol peroxidase	053aff0196c5b77810151c1cb023b06e
0.0376	94	electron transport complex protein RnfG	0522bbce8d327f50f8b6c0d4f0b2e2c0
0.0376	94	50S ribosomal protein L1	029b10a6e0320dd438111050fd3b43fc
0.0372	93	ABC transporter substrate-binding protein	00ad1b60b326bf1a73634d04fc08e8d9
0.0368	92	sugar isomerase (SIS)	02bfe7cd37a00485c978432b51d8bcd3
0.0368	92	glycerol kinase	00a9ca28060952a25676052d5923bf47
0.0368	92	arginyl-tRNA synthetase	02012164994e7e1ffd11e04982b22d45
0.0368	92	CoA-substrate-specific enzyme activase	0090109fb8d6b4f3393020d7c2dc3f32
0.0364	91	(R)-2-hydroxyglutaryl-CoA dehydratas	0bc54262728a173b023a484eb9fee373
0.0364	91	glycogen synthase	005cf32b4bf3bcc26592879cfa9f6d08
0.0364	91	ribonuclease R	0087c668cb4fbf867cb5f887c18da616
0.0364	91	glycogen branching enzyme	006f22b5cc1f6b34cd6be6499c2fdb8f
0.036	90	ferredoxin	00aace677c3e649a28299643b88a6661
0.036	90	periplasmic binding protein/LacI transcriptional regulator	07ffcfcbe73498df5638ad81736ed115
0.036	90	putative transmembrane protein	0abdeb2c23879cd9f8c435eacb084d03
0.0356	89	flagellar motor switch protein FliM	0e44fe0dfd3cd7b3d22ea6402a6a2db8
0.0356	89	ribosomal protein L7/L12 RplL	0fde10d549f136932da2f6b7100ddc39
0.0352	88	pyruvate-flavodoxin oxidoreductase	0c817ba75e9d9650f36ddcf0c936e9a8
0.0352	88	DNA primase	03bf15683598aa48a9e1d3ddc8cbde52
0.0352	88	30S ribosomal protein S2	0037990d741c7cf3f4ecddccf6c51781
0.0352	88	NAD synthetase	053d38cad7b63fdd60848540e98372bc
0.0352	88	small acid-soluble spore protein alpha/beta type	1012ce0bf89a27437466103ca8d1cc7c
0.0348	87	Elongation factor Tu	12901bcc7793850b87212f0d92f696a3
0.0348	87	MIP family major intrinsic protein channel protein	14cb3f3fe6a250d38e2e9de0f2320ae2
0.0348	87	inosine-5''-monophosphate dehydrogenase	05d91606b4b10e06b6d52e921b05e92f
0.0348	87	NADH dehydrogenase subunit E	063fc0cea064b195c58b4369570dd183
0.0348	87	beta-galactosidase	015b23b322f7899e09346c2b1954ecdc
0.0348	87	methionine aminopeptidase	097ba5946bd9ccd05f45f144a44ecc61
0.0348	87	amidophosphoribosyltransferase	009377b9363b235c670276c711985533
0.0348	87	translation initiation factor IF-3	001cb4940321f5eed1120730dad7d01b
0.0344	86	ribosomal protein L14	0232fcab3a4cd0a457a4d5e4a750933d
0.0344	86	ATPase AAA-2	01195fd1d40dc7c23887887c7013a204
0.0344	86	DAK2 domain fusion protein YloV	02f17ed2ca23a3aa15697137e1ee28d9
0.0344	86	extracellular solute-binding protei	0025c9d708396613cb564f9aff8bfa56
0.034	85	50S ribosomal protein L35P	08a60f5a655ecd0a7a87359ade2d824d
0.034	85	beta-glycosidase	0c26f04c431469dede305e87cac0bb98
0.034	85	ribose-phosphate pyrophosphokinase	00ba561bacd2f426ea8b52ae694a0c6c
0.0336	84	2-ketoisovalerate ferredoxin reductase	00b5eaab56468cc01a6ee6765a1f3dae
0.0336	84	Phosphotransferase syste	0494427705029e31d03a3cd4829c01a5
0.0336	84	acetylglutamate kinase	011069e034996323f1975bbfa8cb93ff
0.0336	84	cysteine desulfurase activator complex subunit SufB	0dd88f8a6ea993f2d9b69198e9591589
0.0336	84	ATP-dependent DNA helicase	078c9a197b28f20351fbcec5ec7a0c59
0.0332	83	xylulose kinase	02d348582b8adcedff9077b06dab0371
0.0332	83	fumarate reductas	01759f283d3b14c9ebaf16ec867d937c
0.0332	83	putative ferredoxin	1048d7a7883eadbab3693e9d01c94a03
0.0328	82	ribosomal protein L10	00e5b509098ed51bea258d1f7f8ba760
0.0328	82	F0F1 ATP synthase subunit gamma	03d0177d12cfa80354229ecdde861157
0.0328	82	translation elongation factor P	1558ac1c87d6fc6d310ab80f8bec22bf
0.0328	82	outer membrane protein Omp121	0cec681cd829a62fa086b470ed780738
0.0324	81	histidyl-tRNA synthetase	0177092bd701cb755aa33b80950e2c01
0.0324	81	3-hydroxybutyryl-CoA dehydratase	05b5188d6659b15e19101e16b2a94bd3
0.0324	81	KHG/KDPG family aldolase/carbohydrate kinas	0503d186d5102ec970aac43ea50188f0
0.0324	81	endo-	02df0920a79b9acbb8ecd742ff1522db
