Number of total reads: 		250000
0.1892	473	Alkaliphilus oremlandii OhILAs
0.1864	466	Symbiobacterium thermophilum IAM 14863
0.186	465	Clostridium sticklandii DSM 519
0.1828	457	Clostridium difficile NAP07
0.18	450	Bacteroides ovatus SD CMC 3f
0.1796	449	Desulfitobacterium hafniense DCB-2
0.1732	433	Stigmatella aurantiaca DW4/3-1
0.1728	432	Bacteroides coprocola DSM 17136
0.1708	427	Clostridium difficile QCD-63q42
0.1676	419	Zunongwangia profunda SM-A87
0.1652	413	Anoxybacillus flavithermus WK1
0.1616	404	Akkermansia muciniphila ATCC BAA-835
0.1604	401	Bacteroides cellulosilyticus DSM 14838
0.158	395	Clostridium perfringens str. 13
0.1564	391	Clostridium perfringens SM101
0.156	390	Desulfovibrio piger ATCC 29098
0.1548	387	Clostridium difficile 630
0.1536	384	Propionibacterium acnes J165
0.1532	383	Bacteroides intestinalis DSM 17393
0.1528	382	Abiotrophia defectiva ATCC 49176
0.1444	361	Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365
0.1364	341	Eggerthella lenta DSM 2243
0.1328	332	Elusimicrobium minutum Pei191
0.132	330	Acidaminococcus sp. D21
0.1308	327	Listeria monocytogenes serotype 4b str. CLIP 80459
0.13	325	Paludibacter propionicigenes WB4
0.1296	324	Clostridium novyi NT
0.1292	323	Veillonella parvula DSM 2008
0.1292	323	Slackia heliotrinireducens DSM 20476
0.1288	322	Atopobium parvulum DSM 20469
0.1288	322	Gemella haemolysans ATCC 10379
0.1284	321	Streptococcus thermophilus LMG 18311
0.1268	317	Bacteroides finegoldii DSM 17565
0.1264	316	Anaerococcus prevotii DSM 20548
0.1264	316	Sebaldella termitidis ATCC 33386
0.126	315	Desulfovibrio desulfuricans subsp. desulfuricans str. ATCC 27774
0.1256	314	Butyrivibrio crossotus DSM 2876
0.1248	312	Bacteroides caccae ATCC 43185
0.1228	307	Bifidobacterium animalis subsp. lactis Bl-04
0.1228	307	Bacteroides plebeius DSM 17135
0.1192	298	Clostridium ljungdahlii DSM 13528
0.1144	286	Thermosediminibacter oceani DSM 16646
0.1124	281	Clostridiales genomosp. BVAB3 str. UPII9-5
0.1112	278	Fusobacterium nucleatum subsp. nucleatum ATCC 25586
0.11	275	Xylanimonas cellulosilytica DSM 15894
0.1096	274	Carboxydothermus hydrogenoformans Z-2901
0.1092	273	Streptococcus pneumoniae ATCC 700669
0.1092	273	Bacteroides sp. 2_2_4
0.1088	272	Bacteroides dorei 5_1_36/D4
0.1072	268	Clostridium spiroforme DSM 1552
0.1072	268	Victivallis vadensis ATCC BAA-548
0.1056	264	Treponema denticola ATCC 35405
0.104	260	Clostridium scindens ATCC 35704
0.102	255	Clostridium hylemonae DSM 15053
0.0988	247	Prevotella melaninogenica ATCC 25845
0.0984	246	Desulfovibrio desulfuricans subsp. desulfuricans str. G20
0.096	240	Thermoanaerobacter sp. X513
0.0952	238	Pelotomaculum thermopropionicum SI
0.094	235	Bacteroides ovatus SD CC 2a
0.092	230	Clostridium cellulovorans 743B
0.092	230	Desulfotomaculum reducens MI-1
0.0916	229	Burkholderiales bacterium 1_1_47
0.0872	218	Collinsella intestinalis DSM 13280
0.0864	216	Thermoanaerobacter mathranii subsp. mathranii str. A3
0.086	215	Bacillus anthracis str. Western North America USA6153
0.0848	212	Paenibacillus sp. JDR-2
0.0844	211	Desulfovibrio vulgaris DP4
0.082	205	Erysipelotrichaceae bacterium 5_2_54FAA
0.08	200	Clostridium perfringens CPE str. F4969
0.0796	199	Desulfitobacterium hafniense Y51
0.0788	197	Bacteroides sp. 2_1_16
0.0748	187	Bacillus clausii KSM-K16
0.0736	184	Fibrobacter succinogenes subsp. succinogenes S85
0.0708	177	Saccharomyces cerevisiae S288c
0.07	175	Bacteroides coprophilus DSM 18228
0.0688	172	Clostridium lentocellum DSM 5427
0.0676	169	Bacteroides sp. D2
0.0664	166	Brachyspira hyodysenteriae WA1
0.0664	166	Bacillus cereus AH676
0.0656	164	Bacteroides sp. 1_1_14
0.0652	163	Heliobacterium modesticaldum Ice1
0.0644	161	Paenibacillus sp. Y412MC10
0.0644	161	Clostridium kluyveri DSM 555
0.0644	161	Moorella thermoacetica ATCC 39073
0.0628	157	Clostridium botulinum F str. Langeland
0.0624	156	Syntrophomonas wolfei subsp. wolfei str. Goettingen
0.0624	156	Spirochaeta smaragdinae DSM 11293
0.0624	156	Brachyspira murdochii DSM 12563
0.062	155	Leptotrichia buccalis C-1013-b
0.0604	151	Prevotella bergensis DSM 17361
0.06	150	Shuttleworthia satelles DSM 14600
0.0588	147	Rhodoferax ferrireducens T118
0.0588	147	Streptococcus thermophilus CNRZ1066
0.0588	147	Cryptobacterium curtum DSM 15641
0.058	145	Streptococcus pneumoniae TIGR4
0.058	145	Coprobacillus sp. D7
0.0576	144	Streptococcus parasanguinis ATCC 15912
0.0572	143	Bacteroides sp. 2_1_33B
0.0564	141	Lawsonia intracellularis PHE/MN1-00
0.0556	139	Treponema pallidum subsp. pallidum str. Nichols
0.0552	138	Thermosipho melanesiensis BI429
0.0544	136	Clostridium difficile ATCC 43255
0.0536	134	Finegoldia magna ATCC 29328
0.0528	132	Monodelphis domestica
0.0524	131	Streptococcus gordonii str. Challis substr. CH1
0.0524	131	Bacillus cellulosilyticus DSM 2522
0.052	130	Bacillus halodurans C-125
0.052	130	Clostridium hiranonis DSM 13275
0.0512	128	Syntrophus aciditrophicus SB
0.0512	128	Clostridium botulinum B str. Eklund 17B
0.0496	124	Anaerofustis stercorihominis DSM 17244
0.0492	123	Thermus thermophilus HB8
0.0488	122	Eubacterium cellulosolvens 6
0.048	120	Desulfotomaculum acetoxidans DSM 771
0.0476	119	Campylobacter gracilis RM3268
0.0476	119	Bacteroides sp. 2_1_7
0.0472	118	Porphyromonas uenonis 60-3
0.0468	117	Lactobacillus fermentum 28-3-CHN
0.0464	116	Anaerostipes caccae DSM 14662
0.046	115	Clostridium butyricum E4 str. BoNT E BL5262
0.0456	114	Eubacterium saburreum DSM 3986
0.0456	114	Prevotella sp. oral taxon 299 str. F0039
0.0452	113	Desulfovibrio vulgaris str. 'Miyazaki F'
0.0452	113	Ilyobacter polytropus DSM 2926
0.0448	112	Exiguobacterium sibiricum 255-15
0.0444	111	Clostridium carboxidivorans P7
0.044	110	Bacteroides sp. 3_1_23
0.044	110	Megasphaera genomosp. type_1 str. 28L
0.0436	109	Thermoanaerobacterium thermosaccharolyticum DSM 571
0.0432	108	Chloroflexus aurantiacus J-10-fl
0.0428	107	Catenibacterium mitsuokai DSM 15897
0.0424	106	Macrococcus caseolyticus JCSC5402
0.0424	106	Listeria welshimeri serovar 6b str. SLCC5334
0.042	105	Myxococcus xanthus DK 1622
0.0416	104	Eubacterium biforme DSM 3989
0.0416	104	Enterococcus faecalis TX0470
0.0412	103	Enterococcus faecium 1,141,733
0.0412	103	Porphyromonas endodontalis ATCC 35406
0.0408	102	Prevotella buccae D17
0.0408	102	Bacillus pumilus SAFR-032
0.0404	101	Oribacterium sp. oral taxon 078 str. F0262
0.0396	99	Thermoanaerobacter pseudethanolicus ATCC 33223
0.0392	98	Peptostreptococcus anaerobius 653-L
0.0384	96	Finegoldia magna ACS-171-V-Col3
0.0384	96	Bacteroides sp. 20_3
0.0372	93	Candidatus Desulforudis audaxviator MP104C
0.0372	93	Geobacillus kaustophilus HTA426
0.0372	93	Streptococcus sanguinis SK36
0.0372	93	Staphylococcus haemolyticus JCSC1435
0.0368	92	Bacillus licheniformis ATCC 14580
0.0364	91	Bacillus cytotoxicus NVH 391-98
0.036	90	Lactobacillus plantarum subsp. plantarum ATCC 14917
0.0356	89	Capnocytophaga ochracea DSM 7271
0.0356	89	Oscillatoria sp. PCC 6506
0.0356	89	Phytophthora infestans T30-4
0.0356	89	Arabidopsis thaliana
0.0356	89	Homo sapiens
0.0352	88	Geobacillus sp. G11MC16
0.0352	88	Thermobifida fusca YX
0.0348	87	Eubacterium dolichum DSM 3991
0.0348	87	Mobiluncus curtisii ATCC 43063
0.0348	87	Oribacterium sinus F0268
0.0344	86	Halothermothrix orenii H 168
0.034	85	Brevibacillus brevis NBRC 100599
0.0336	84	Pedobacter heparinus DSM 2366
0.0336	84	Chitinophaga pinensis DSM 2588
0.0336	84	Flavobacterium johnsoniae UW101
0.0336	84	Streptococcus mitis NCTC 12261
0.0332	83	Natrialba magadii ATCC 43099
0.0332	83	Selenomonas sputigena ATCC 35185
0.0328	82	Lactobacillus sakei subsp. sakei 23K
0.0328	82	Bifidobacterium longum subsp. longum BBMN68
0.0328	82	Bacillus subtilis subsp. subtilis str. NCIB 3610
0.0324	81	Acholeplasma laidlawii PG-8A
0.0316	79	Rhizobium etli CFN 42
0.0316	79	Desulfovibrio sp. 3_1_syn3
0.0316	79	Bartonella henselae str. Houston-1
0.0312	78	Prevotella bryantii B14
0.0312	78	Prevotella sp. oral taxon 317 str. F0108
0.0312	78	Bacillus subtilis subsp. subtilis str. 168
0.0312	78	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446
0.0308	77	Methanobrevibacter smithii ATCC 35061
0.0308	77	Lysinibacillus sphaericus C3-41
0.0304	76	Fusobacterium nucleatum subsp. polymorphum ATCC 10953
0.0304	76	Geobacter bemidjiensis Bem
0.0304	76	Fervidobacterium nodosum Rt17-B1
0.03	75	Streptococcus pyogenes MGAS2096
0.03	75	Clostridium botulinum A3 str. Loch Maree
0.03	75	Dictyostelium discoideum AX4
0.0296	74	Gramella forsetii KT0803
0.0296	74	Geobacillus sp. Y4.1MC1
0.0296	74	Bacillus amyloliquefaciens FZB42
0.0296	74	Parabacteroides sp. D13
0.0296	74	Dyadobacter fermentans DSM 18053
0.0296	74	Streptococcus pyogenes MGAS315
0.0292	73	Desulfovibrio vulgaris str. Hildenborough
0.0284	71	Epulopiscium sp. 'N.t. morphotype B'
0.028	70	Geobacter metallireducens GS-15
0.028	70	Petrotoga mobilis SJ95
0.0276	69	Geobacillus thermodenitrificans NG80-2
0.0276	69	Eubacterium saphenum ATCC 49989
0.0272	68	Clostridium perfringens ATCC 13124
0.0272	68	Lactococcus lactis subsp. lactis Il1403
0.0272	68	Streptococcus vestibularis F0396
0.0272	68	Haliangium ochraceum DSM 14365
0.0272	68	Prevotella tannerae ATCC 51259
0.0268	67	Bifidobacterium bifidum PRL2010
0.0268	67	Erysipelotrichaceae bacterium 3_1_53
0.0264	66	Thermincola potens JR
0.0264	66	Coxiella burnetii RSA 331
0.026	65	Clostridium botulinum D str. 1873
0.026	65	Spirosoma linguale DSM 74
0.026	65	Rattus norvegicus
0.026	65	Prevotella timonensis CRIS 5C-B1
0.0256	64	Clostridium difficile QCD-37x79
0.0256	64	Dictyoglomus thermophilum H-6-12
0.0256	64	Ketogulonicigenium vulgare Y25
0.0252	63	Taeniopygia guttata
0.0252	63	Trichomonas vaginalis G3
0.0252	63	Lactobacillus reuteri DSM 20016
0.0252	63	Methanocorpusculum labreanum Z
0.0252	63	Streptococcus pneumoniae D39
0.0252	63	Bifidobacterium longum NCC2705
0.0248	62	Streptococcus mutans UA159
0.0248	62	Drosophila melanogaster
0.0244	61	Streptococcus suis 98HAH33
0.0244	61	Geobacter lovleyi SZ
0.0244	61	Selenomonas noxia ATCC 43541
0.0244	61	Roseiflexus sp. RS-1
0.024	60	Rubrobacter xylanophilus DSM 9941
0.024	60	Gemmatimonas aurantiaca T-27
0.024	60	Slackia exigua ATCC 700122
0.0236	59	Rhodospirillum rubrum ATCC 11170
0.0236	59	Thermococcus onnurineus NA1
0.0232	58	Leptospira biflexa serovar Patoc strain 'Patoc 1 (Ames)'
0.0228	57	Prevotella buccalis ATCC 35310
0.0228	57	Deferribacter desulfuricans SSM1
0.0228	57	Pseudoramibacter alactolyticus ATCC 23263
0.0228	57	Pelobacter carbinolicus DSM 2380
0.0224	56	Bifidobacterium longum subsp. infantis ATCC 15697
0.0224	56	Streptococcus pneumoniae R6
0.0224	56	Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2
0.0224	56	Streptococcus agalactiae NEM316
0.0224	56	Dethiosulfovibrio peptidovorans DSM 11002
0.0224	56	Cytophaga hutchinsonii ATCC 33406
0.0224	56	Maribacter sp. HTCC2170
0.0224	56	Bacteroides sp. 3_1_19
0.0224	56	Clostridium sp. HGF2
0.0224	56	Thermotoga maritima MSB8
0.022	55	Streptococcus pneumoniae SP3-BS71
0.022	55	Staphylococcus epidermidis RP62A
0.0216	54	Brevibacterium linens BL2
0.0216	54	Monosiga brevicollis MX1
0.0216	54	Paenibacillus sp. oral taxon 786 str. D14
0.0216	54	Clostridium botulinum Bf
0.0216	54	Syntrophobacter fumaroxidans MPOB
0.0212	53	Turicibacter sanguinis PC909
0.0212	53	Sulfurovum sp. NBC37-1
0.0212	53	Filifactor alocis ATCC 35896
0.0208	52	Thermoanaerobacter ethanolicus CCSD1
0.0208	52	Prevotella copri DSM 18205
0.0204	51	Lactobacillus brevis ATCC 367
0.0204	51	Streptococcus equi subsp. zooepidemicus MGCS10565
0.0204	51	Porphyromonas gingivalis ATCC 33277
0.0204	51	Pelobacter propionicus DSM 2379
0.0204	51	Escherichia coli E24377A
0.0204	51	Pseudoalteromonas haloplanktis TAC125
0.0204	51	Listeria monocytogenes serotype 1/2a str. F6854
0.0204	51	Pseudomonas fluorescens Pf0-1
0.02	50	Bifidobacterium dentium ATCC 27678
0.02	50	Gardnerella vaginalis 409-05
0.02	50	Sphaerobacter thermophilus DSM 20745
0.02	50	Thermosinus carboxydivorans Nor1
0.02	50	Clostridium sp. 7_2_43FAA
0.02	50	Streptomyces scabiei 87.22
0.0196	49	Desulfuromonas acetoxidans DSM 684
0.0196	49	Streptococcus mitis B6
0.0196	49	Bacillus thuringiensis str. Al Hakam
0.0196	49	Streptococcus pyogenes str. Manfredo
0.0192	48	Streptococcus pyogenes MGAS8232
0.0192	48	Clostridium papyrosolvens DSM 2782
0.0192	48	Bacteroidetes oral taxon 274 str. F0058
0.0192	48	Enterococcus faecium TX0133a01
0.0192	48	Leeuwenhoekiella blandensis MED217
0.0188	47	Streptococcus parasanguinis F0405
0.0188	47	Pediococcus pentosaceus ATCC 25745
0.0188	47	Methanosarcina acetivorans C2A
0.0188	47	Plasmodium falciparum 3D7
0.0188	47	Bacillus megaterium QM B1551
0.0184	46	Ostreococcus lucimarinus CCE9901
0.0184	46	Bifidobacterium longum subsp. infantis ATCC 55813
0.0184	46	Dictyoglomus turgidum DSM 6724
0.018	45	Bulleidia extructa W1219
0.018	45	Caldicellulosiruptor obsidiansis OB47
0.018	45	Bifidobacterium dentium Bd1
0.018	45	Bifidobacterium longum DJO10A
0.018	45	Veillonella dispar ATCC 17748
0.0176	44	Geobacter uraniireducens Rf4
0.0176	44	Dialister invisus DSM 15470
0.0176	44	Thermoanaerobacter italicus Ab9
0.0176	44	Candidatus Solibacter usitatus Ellin6076
0.0176	44	Desulfatibacillum alkenivorans AK-01
0.0176	44	Haemophilus influenzae Rd KW20
0.0172	43	Neisseria meningitidis FAM18
0.0172	43	Geobacillus sp. Y412MC61
0.0172	43	Roseobacter denitrificans OCh 114
0.0168	42	Bacillus cereus ATCC 14579
0.0168	42	Thermaerobacter marianensis DSM 12885
0.0168	42	Listeria innocua Clip11262
0.0168	42	Bifidobacterium longum subsp. longum JDM301
0.0164	41	Nostoc sp. PCC 7120
0.0164	41	Streptococcus gallolyticus subsp. gallolyticus TX20005
0.0164	41	Syntrophothermus lipocalidus DSM 12680
0.0164	41	Prevotella oris F0302
0.0164	41	Actinomyces odontolyticus ATCC 17982
0.016	40	Selenomonas flueggei ATCC 43531
0.016	40	Ricinus communis
0.016	40	Fusobacterium varium ATCC 27725
0.016	40	Parvimonas micra ATCC 33270
0.016	40	Prevotella oris C735
0.0156	39	Marinomonas sp. MWYL1
0.0156	39	Paenibacillus polymyxa SC2
0.0156	39	Croceibacter atlanticus HTCC2559
0.0156	39	Streptomyces sp. SPB78
0.0152	38	Actinobacillus succinogenes 130Z
0.0152	38	Prevotella disiens FB035-09AN
0.0152	38	Flavobacteria bacterium BBFL7
0.0148	37	Desulfotalea psychrophila LSv54
0.0148	37	Prevotella bivia JCVIHMP010
0.0148	37	Caulobacter crescentus NA1000
0.0148	37	Burkholderia pseudomallei 305
0.0144	36	Bacillus weihenstephanensis KBAB4
0.0144	36	Lactococcus lactis subsp. cremoris MG1363
0.0144	36	Exiguobacterium sp. AT1b
0.0144	36	Methanococcus maripaludis S2
0.0144	36	Lactobacillus fermentum IFO 3956
0.0144	36	Pseudoalteromonas atlantica T6c
0.0144	36	Bacteroides sp. 2_1_22
0.0144	36	Clostridium perfringens B str. ATCC 3626
0.0144	36	Bacillus sp. B14905
0.014	35	Eubacterium yurii subsp. margaretiae ATCC 43715
0.014	35	Shewanella sp. W3-18-1
0.014	35	Natranaerobius thermophilus JW/NM-WN-LF
0.014	35	Caldicellulosiruptor hydrothermalis 108
0.014	35	Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842
0.014	35	Roseiflexus castenholzii DSM 13941
0.014	35	Megasphaera micronuciformis F0359
0.0136	34	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305
0.0136	34	Prevotella marshii DSM 16973
0.0136	34	Burkholderia sp. 383
0.0136	34	Flavobacterium psychrophilum JIP02/86
0.0136	34	Strongylocentrotus purpuratus
0.0136	34	Thermotoga lettingae TMO
0.0132	33	Thermosipho africanus TCF52B
0.0132	33	Mannheimia succiniciproducens MBEL55E
0.0132	33	Chlorobium luteolum DSM 273
0.0132	33	Anaerococcus tetradius ATCC 35098
0.0132	33	Fusobacterium nucleatum subsp. vincentii ATCC 49256
0.0132	33	Listeria monocytogenes Finland 1988
0.0132	33	Neurospora crassa OR74A
0.0128	32	Cellulomonas flavigena DSM 20109
0.0128	32	Oceanobacillus iheyensis HTE831
0.0128	32	Spirochaeta thermophila DSM 6192
0.0128	32	Desulfovibrio salexigens DSM 2638
0.0128	32	Marivirga tractuosa DSM 4126
0.0128	32	Enterobacteria phage phiX174 sensu lato
0.0128	32	Candidatus Koribacter versatilis Ellin345
0.0124	31	Fusobacterium mortiferum ATCC 9817
0.0124	31	Klebsiella pneumoniae subsp. pneumoniae MGH 78578
0.0124	31	Acinetobacter sp. ADP1
0.0124	31	Escherichia coli E110019
0.0124	31	Burkholderia thailandensis E264
0.012	30	Aeromonas hydrophila subsp. hydrophila ATCC 7966
0.012	30	Lactobacillus reuteri JCM 1112
0.012	30	Prevotella oralis ATCC 33269
0.012	30	Aquifex aeolicus VF5
0.012	30	Oryza sativa Japonica Group
0.012	30	Clostridium botulinum A str. Hall
0.0116	29	Nectria haematococca mpVI 77-13-4
0.0116	29	Rhodospirillum centenum SW
0.0116	29	Denitrovibrio acetiphilus DSM 12809
0.0116	29	Colwellia psychrerythraea 34H
0.0116	29	Bacillus selenitireducens MLS10
0.0112	28	Paenibacillus larvae subsp. larvae BRL-230010
0.0112	28	Desulfohalobium retbaense DSM 5692
0.0112	28	Enterococcus faecium TX0082
0.0112	28	Bacillus tusciae DSM 2912
0.0112	28	Desulfomicrobium baculatum DSM 4028
0.0112	28	Clostridium difficile R20291
0.0112	28	Caldicellulosiruptor bescii DSM 6725
0.0108	27	Flavobacteriaceae bacterium 3519-10
0.0108	27	Sorangium cellulosum 'So ce 56'
0.0108	27	Mycobacterium abscessus ATCC 19977
0.0108	27	Bacteroides sp. D22
0.0108	27	Corynebacterium glutamicum ATCC 13032
0.0108	27	Peptostreptococcus stomatis DSM 17678
0.0108	27	Clostridium ramosum DSM 1402
0.0108	27	Enterococcus faecium 1,230,933
0.0108	27	Geobacillus sp. WCH70
0.0108	27	Actinobacillus pleuropneumoniae serovar 1 str. 4074
0.0108	27	Polaribacter irgensii 23-P
0.0108	27	Leadbetterella byssophila DSM 17132
0.0108	27	Campylobacter jejuni subsp. jejuni 81116
0.0104	26	Bacillus cereus AH187
0.0104	26	Mesorhizobium loti MAFF303099
0.0104	26	Streptococcus pneumoniae str. Canada MDR_19F
0.0104	26	Chlorobium phaeovibrioides DSM 265
0.0104	26	Nocardioides sp. JS614
0.0104	26	Paenibacillus polymyxa E681
0.0104	26	Caenorhabditis elegans
0.0104	26	Bacillus cereus E33L
0.0104	26	Peptoniphilus sp. oral taxon 386 str. F0131
0.0104	26	Staphylococcus aureus A6300
0.0104	26	Aminobacterium colombiense DSM 12261
0.01	25	Methanobrevibacter ruminantium M1
0.01	25	Sinorhizobium meliloti 1021
0.01	25	Peptoniphilus lacrimalis 315-B
0.01	25	Thermobaculum terrenum ATCC BAA-798
0.01	25	Streptococcus pneumoniae CDC1087-00
0.01	25	Lactobacillus salivarius UCC118
0.01	25	Desulfurispirillum indicum S5
0.01	25	Bacillus subtilis subsp. spizizenii str. W23
0.01	25	Arthrobacter aurescens TC1
0.01	25	Streptococcus gallolyticus UCN34
0.01	25	Kosmotoga olearia TBF 19.5.1
0.01	25	Methylacidiphilum infernorum V4
0.01	25	Prevotella sp. oral taxon 472 str. F0295
0.01	25	Haemophilus ducreyi 35000HP
0.01	25	Salinispora tropica CNB-440
0.01	25	Dokdonia donghaensis MED134
0.0096	24	Bacillus sp. NRRL B-14911
0.0096	24	Actinobacillus pleuropneumoniae serovar 12 str. 1096
0.0096	24	Rhodopseudomonas palustris BisB5
0.0096	24	Danio rerio
0.0096	24	Clostridium difficile NAP08
0.0096	24	Thermanaerovibrio acidaminovorans DSM 6589
0.0096	24	Dethiobacter alkaliphilus AHT 1
0.0096	24	Streptococcus pneumoniae BS458
0.0096	24	Lactobacillus johnsonii NCC 533
0.0096	24	Desulfococcus oleovorans Hxd3
0.0096	24	Methanococcoides burtonii DSM 6242
0.0092	23	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293
0.0092	23	Shigella flexneri 5 str. 8401
0.0092	23	Blastocystis sp. DMP/02-328
0.0092	23	Streptobacillus moniliformis DSM 12112
0.0092	23	Helicobacter hepaticus ATCC 51449
0.0092	23	Plasmodium yoelii yoelii str. 17XNL
0.0092	23	Streptococcus thermophilus
0.0092	23	Magnetospirillum magneticum AMB-1
0.0092	23	Deinococcus radiodurans R1
0.0092	23	Streptococcus downei F0415
0.0092	23	Leptotrichia goodfellowii F0264
0.0088	22	Nocardia farcinica IFM 10152
0.0088	22	Prevotella buccae ATCC 33574
0.0088	22	Bdellovibrio bacteriovorus HD100
0.0088	22	Campylobacter coli RM2228
0.0088	22	Peptoniphilus harei ACS-146-V-Sch2b
0.0088	22	Microcystis aeruginosa NIES-843
0.0088	22	Collinsella stercoris DSM 13279
0.0088	22	Prevotella veroralis F0319
0.0088	22	Wolinella succinogenes DSM 1740
0.0088	22	Gloeobacter violaceus PCC 7421
0.0088	22	Bos taurus
0.0088	22	Dechloromonas aromatica RCB
0.0088	22	Comamonas testosteroni CNB-2
0.0084	21	Streptococcus pneumoniae TCH8431/19A
0.0084	21	Leuconostoc kimchii IMSNU 11154
