Number of total reads: 		250000
Number of unique reads: 	2159
Number of unique transcripts: 	2159
Number of unique organisms: 	344

Percent of total	Count	Species name
0.0584	146	hypoxanthine phosphoribosyltransferase	001fe92c52fb87b79a1ada3f78308a99
0.0584	146	ribosomal protein S20	00d6af2726d44546624b053869b66b44
0.058	145	ribosomal protein S6	0159ff679df088d47ccbfbde6960a26b
0.0576	144	ABC transporter-like protein	012abb26de872b12f589480806819494
0.0576	144	6-phospho-beta-glucosidase	0028a657355b21342f9b9a9fca696830
0.0568	142	serine protease inhibitor	00943b5d8bb01c1fab4735a748c9b1e8
0.0564	141	pyruvate formate lyase I	01b3dcdf34eed1070fcc6340bd7a2eae
0.0564	141	shikimate 5-dehydrogenase	0090be12eb9ad232425107a755f12117
0.056	140	anaerobic ribonucleoside-triphosphate reductase	008c707f6d1f9522db20df9e38573db5
0.0552	138	30S ribosomal protein S17	01bf646b7888be71a0f6b5862dea37e4
0.0544	136	peptidoglycan glycosyltransferase	008a0bc4c7032896fed7cfb117450d92
0.054	135	putative lantibiotic abc transporte	0022403932957ccaa5165f35fa2a2671
0.054	135	pectinesterase	02c2898e5a30b7e97f733884a071f09c
0.054	135	acetyl-CoA acetyltransferase	0043fac1da3b2fb364522e1906d172fb
0.0536	134	monofunctional biosynthetic peptidoglycan transglycosylase	00b8ff99540ab887fcf9df0e248b305b
0.0528	132	asparaginyl-tRNA synthetase	0045d4470f55dd7904b409e82a36ae64
0.0528	132	putative methionine synthase	035ab07772c87505f9a4b50f7532907f
0.0524	131	oligo-	00c9d5965d884d4e0bfc59f3707f69b2
0.0516	129	acetyl coenzyme A synthetase	00fb899c2680b53d7825974d657065b4
0.0516	129	adenylosuccinate synthetase	007bdc5553d641369adf1b5ca33e73bc
0.0512	128	50S ribosomal protein L13	0079b9c9bd177140e51979b59466fd5b
0.0512	128	chaperonin GroL	005036614e4b1b4c4f17edbec117a956
0.0512	128	L-fucose isomerase	0219f442eb7ab6c7d7bebaed3e0273e5
0.0512	128	ATPase	0009303db0ae5783257adbcc8c41e467
0.0504	126	competence damage-inducible protein A	02761bb353bb4dd5e9cb0c15b6337e9a
0.05	125	30S ribosomal protein S1	017ee1a9dcf5653b28a824168678a482
0.0496	124	3-isopropylmalate dehydrogenase	00d8975e2dba32a83c680acb9492516f
0.0492	123	xylosidase or glucosidase	01d1464f96d75e78c122d9594c48d445
0.0492	123	stage II sporulation P family protein	005e38f99b7d52135537874714ebc976
0.0488	122	transporte	020e48940d542896bcfbbd2d52b31b5b
0.0488	122	flagellar biosynthesis protein FlhA	007d42b5e629e4a6c3d6eb73cd47ceaa
0.048	120	ABC transporter ATP-binding protein	0006dda22b0015a38096b05a2618c491
0.048	120	ribonuclease Z	011cfb024d3f35c96d8aa61b024b3743
0.048	120	cobyrinic acid	0040dc0031ca8af2c72497ae8ab4e639
0.0472	118	pepdidoglycan bound protein	0250b6bdfc4c0d75e1bc94f9c526b696
0.0472	118	DNA adenine methylase	01369113a13550fd6f7eeadd910106ed
0.0464	116	6-phosphofructokinase	003aa4734ad0808043e30b865486f87d
0.0464	116	undecaprenyldiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase	011dab50ecc51afa7b8bb6279121908e
0.046	115	fructose-bisphosphate aldolase	000ef4a0d748d29666c0e65f52bc454e
0.0456	114	endonuclease V related protein	034ab0f9001a5479676494ff78bd88e8
0.0456	114	trigger factor	012a7cb2fa4a518ca84949e0b58ade0c
0.0452	113	FUR family transcriptional regulator	0175c0696e9107256d1fbeec15ad0dc1
0.0444	111	histidine triad (HIT) protein	0135662769a51be9660c13af4eca7445
0.0432	108	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase	02fb7273c16650bfcea7fd56fffc1c1d
0.0428	107	flagellar protein FlaG protein	010bba6509ebedd7e330c9b5d4a8da16
0.0428	107	putative fucosyltransferase	00725ca9bde226c8e1e0dee17e92576d
0.0416	104	FolD bifunctional protein	00e5c5fa342a5494fbc7887b5ad0c1b7
0.0404	101	sortas	01dfead08cf85bba072c4b0557a4732b
0.0396	99	elongation factor EF-2	0110e9c27857f368544a7f088c00c0f4
0.0392	98	glycosyl transferase family protein	00abb460981cb45fd5b0e7f9b78ba796
0.0392	98	polyribonucleotide nucleotidyltransferase	00d8c9851163f71e74fde2c91cfcead9
0.0392	98	arginine represso	008c13e074c37d161c5f90ebe6729e69
0.0392	98	N-acetylmuramoyl-L-alanine amidase CwlD	011543c8d437d2da74f96cb1b1ef701f
0.0388	97	putative LPS biosynthesis related DNTP-hexose dehydratase-epimerase	01c141d2435848895a4e69ae3fcdcbf1
0.0388	97	tRNA and rRNA cytosine-C5-methylase	0288db1b97838830c415b2baebc0e821
0.0384	96	L-threonine 3-dehydrogenase	00d02ca41b5a51305e27eeb1055de937
0.0384	96	cytidylate kinase	001cfcc30ce32128d3742ced71e56d24
0.038	95	phosphoglycerate kinase	00c75a1713dbb1a6e366170a3c47611c
0.038	95	chorismate mutase	01e5182ea52a95677bec9809fdc56281
0.038	95	anaerobic ribonucleoside triphosphate reductase	0126fd913e836a9736e41320be587285
0.038	95	CBS domain/MgtE intracellular domain protein	01d854e3786fd14fca43694611356526
0.0372	93	chaperonin GroEL	00673bfd834170de80f2b45088531235
0.0368	92	electron transport comple	012821384d054b9e412663910ea60a94
0.0368	92	chaperone hsp7	011304ba759bc5538c53b087c82f6a9e
0.0368	92	heat-inducible transcription repressor HrcA	00438478a5810cb3bd0af5d0a3bc2793
0.0364	91	methionyl-tRNA formyltransferase	00d1cd8436237a52455305c58260bc1c
0.036	90	excisionase	02597bea8ca519f3a1ddac7a86c1bb19
0.0356	89	glycosyl transferas	01354f7e88bf7a39e23ef3f0000b6f34
0.0356	89	ATP synthase F	005150b17de5d7de9d5d6215bb62b423
0.0352	88	glycerol uptake facilitator	0040498c49c797cd040c0d47a2931cc7
0.0352	88	transposase	0018a8ba19b11573c3d896592c115685
0.0348	87	ATP-dependent Clp protease proteolytic subunit	01453bf3328d6a55fae826c7f35b081a
0.0348	87	deoxyguanosinetriphosphate triphosphohydrolase	0190556a8c50d6b85a6f9ed0d841640f
0.0344	86	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	001bee728084f1e99e8d38be232a7d36
0.0344	86	aconitate hydratase domain protein	035bdd6a00ed3ed5c27ed9e88b32f2a6
0.0344	86	mannose-6-phosphate isomerase	003a9a62337e7a84aba89ddd949403a1
0.034	85	cell wall protein	003ef8ef5a06e3317a8aec664e08670f
0.034	85	CoA binding domain protein	0073f0927b1013be8aa9a0c323d73a72
0.034	85	mannose-1-phosphate guanylyltransferase [GDP]	00d78fc50553dbadddc01bc8d1bb16ed
0.0336	84	putative nitroreductase family protein	00ea91f3c525f61d65f56f0fabc92877
0.0336	84	50S ribosomal protein L10	008cfe7834d55a9c0d7ad8caa2e9be55
0.0336	84	amino acid permease	0028e2e6e84fce9c84b2d55fa8bd8b9d
0.0336	84	polar amino acid transport system substrate-binding protein	03153bee614377fccca5f631bb836179
0.0328	82	glutamate synthase	025f4977e329add7124d455172a03f98
0.0324	81	purine nucleoside phosphorylase II	0244abdccb44efb15c1b8518f0ab4f7a
0.0324	81	30S ribosomal protein S12	001456573f6aeab3fd69669f5031cf74
0.032	80	M24/M37 family peptidase putative	009ed672612dc3a8f7112208a62084ab
0.032	80	glycine cleavage system aminomethyltransferase T	0196ff5c6c758973d8babf003aaa481d
0.0316	79	glycoside hydrolase family beta-glycosidase	00bad8c3d48f12476b6fbbc6f40e1a2f
0.0316	79	RNA-binding protein AU-1/Ribonuclease E/G	032b02f146166232b308d96edb338abb
0.0312	78	carbohydrate-binding family 6 protein	01399c889fd596daaad2a37c7ddfd900
0.0312	78	Cystathionine gamma-synthase	01620af972e43ceca575b8a25c99bd76
0.0308	77	putative sulfatase	02cf1ac64a1c694a9a762f0851f6ca81
0.0304	76	putative C-5 cytosine-specific DNA methylase	0307ce9effadd6b16bd42575ae87e49d
0.0304	76	OmpA-related protein	0036b1b86eae9b41d2c4df33f5f62a43
0.0304	76	putative Na+-dependent phosphate transporter	030cda09b976dac6766ff2b4d75fd9cf
0.03	75	aminopeptidase C	0029e752fbd86480f891e46ace478f76
0.03	75	cell wall hydrolase/autolysin	031eb9ca341de9637318918491e921d9
0.0296	74	prephenate dehydrogenase	017b1d8c3a83cb485d84c921d4455df6
0.0296	74	oxaloacetate decarboxylas	0089848cc1a4dc426f8895bf5d435c61
0.0296	74	binding-protein-dependent transport systems inner membrane component	000f0c33e7c8574730e56296493536c5
0.0292	73	S-adenosyl-methyltransferase MraW	006774f29b1ac372cee5b9f161f1694c
0.0292	73	thiamine biosynthesis protein ThiC	00a8b0094e338f82f011320ec5831d89
0.0292	73	protein YjgK	016a9d66e730c195a48a4005f736a561
0.0288	72	ribosomal protein L14	0232fcab3a4cd0a457a4d5e4a750933d
0.0284	71	site-specific DNA-methyltransferase M.NgoVII	02fb1ad56c054e081234019f1ab4a29a
0.028	70	cysteinyl-tRNA synthetase	00774cf40893e606213166d53c4dd3a1
0.028	70	ATPase AAA-2	01195fd1d40dc7c23887887c7013a204
0.028	70	putative phosphoketolase	003bcf91d109892733c61cf713e842a6
0.028	70	F5/8 type C domain containing protein	02f84c1fcec4aa2d2e5fd05e550d9e13
0.0276	69	extracellular solute-binding protei	0025c9d708396613cb564f9aff8bfa56
0.0272	68	branched chain amino acid transport system II carrier protein	0358b3a6642aaa34c75171c6e1c8348b
0.0272	68	phosphotransferase system	023bf35fbeeca68476a7cfec6a99fef8
0.0268	67	amino acid carrier protein	007e199c84956c6ec65fa69e4d29b5e4
0.0268	67	S-adenosylmethionine synthetase	00bd468985e0129779b7c838250618b1
0.0264	66	beta-galactosidase	015b23b322f7899e09346c2b1954ecdc
0.0264	66	3-dehydroquinate synthase	0100fd24dd94a477e35ee4c861f04a4f
0.0264	66	xylosidase/arabinosidase	000d12c6b5b902d68c8fbc6197a9d968
0.0264	66	inner-membrane translocator	0064629591d18fd538fa4ea9345798e9
0.026	65	ribose-phosphate pyrophosphokinase	00ba561bacd2f426ea8b52ae694a0c6c
0.026	65	DAK2 domain protein	0088082cd5a48d95418d9730c60aff29
0.026	65	exported xanthan lyase/N-acetylmuramoyl-L-alanine amidase	0123a2415d51ad713d8755c864f2a265
0.0256	64	arylsulfotransferase	00cb977436f8679cbd71db50c13e9d89
0.0256	64	putative fructose amino acid-binding lipoprotein	0088f430924562536234567207fd903b
0.0256	64	histidinol-phosphate aminotransferase HisC	0053281190aa42ab97d5800b847de3ba
0.0256	64	MotA/TolQ/ExbB proton channel family protein	010ec741168a04415891ff805796c44a
0.0256	64	putative ferrous ion transport protein B	0210f42804500fa52ffd6a34f0d4edd6
0.0252	63	DNA gyras	008894d6376f820ffc4350fb3e029238
0.0252	63	ribosomal protein L13	00d12ec9e52d9092e219a46b4ba4622e
0.0248	62	transcription-repair coupling factor	0088c91126633ede8c97646474706ee7
0.0248	62	ABC transporter integral membrane protein	032b7bc0a08abe722fc47529add258c8
0.0248	62	pseudaminic acid synthase	0126a30ca8fd6bfac9270d8e31d7228a
0.0248	62	putative acetylglutamate kinase	02ed9e6e0054cc303c3f63172ea624a0
0.0244	61	glycyl-radical activating family protein	01afd59a6920f87d7e7f50d21dae82ff
0.0244	61	GTP-binding protein EngA	004161dd44777047af011324a1163854
0.0244	61	hydrogenase accessory protein HypB	00210df03cec2f1430d20bf48328f295
0.0244	61	ethanolamine utilization protein EutJ	0241e9e8984517c86d0f5ba42d8397a4
0.024	60	LacI family transcriptional regulator	000ed9b219675d4b0b66f94d1bb96445
0.024	60	regulatory protein AsnC	036fdb3384450734b62fb0d13d7324fa
0.024	60	uracil-DNA glycosylase	0330e7d104cef83fb033674dcd6b070f
0.024	60	30S ribosomal protein S6	032b443537998c72f9f9e34b016e2206
0.024	60	bacterial extracellular solute-binding protei	001f291857686f29a6e479d7924f8aef
0.024	60	cell division protein FtsH	002976e0f0e4c1819edaafa45203c49a
0.0236	59	elongation factor Ts	001343ceee32c8b0f0f95d38ab4bd7bc
0.0236	59	flagellar biosynthesis protein FliP	02bde1538777ac30be59ce4a425e9edc
0.0236	59	glycosy hydrolase family protein	036f146ae50a8bb4c72d3612eb260c47
0.0236	59	helicase IV	0277463848840b5f512824d56346530c
0.0236	59	glutathione peroxidase	012581b289a6a9f79dc18c20d58490ce
0.0236	59	N-acylglucosamine 2-epimerase	007b3ba65ed49d223b8a5fd281336092
0.0232	58	23S rRNA (uracil-5-)-methyltransferase RumA	036c3a62099325f22328b003278c336d
0.0232	58	outer membrane protein SusE	007570501c46d0f72885c0811521fcd0
0.0232	58	serine/threonine-protein kinase PrkC	02065ee66a947f7d0d91190b592b3f24
0.0232	58	carboxynorspermidine decarboxylase	009d5f22ae547b394be29219224d62e3
0.0232	58	MATE efflux family protein	00965e4a247c871e31cb46997de19961
0.0228	57	50S ribosomal protein L16	02c9b5e9d56ca2c64fed874496ab5e36
0.0228	57	thiamine-phosphate pyrophosphorylase	00065ea212fc84fd83409e86d4bf78a3
0.0224	56	tryptophan synthas	02221bd61776c1f7c51d6748747d6854
0.0224	56	DNA ligas	00069ef29137f4dea74f828f26900163
0.0224	56	DNA-binding response regulato	02ad7dba52c9e1ea328703508eaa7102
0.0224	56	glycogen branching enzyme	007cdb17af89fd8ec3cf5e8162ead5ca
0.0224	56	acyl-phosphate glycerol 3-phosphate acyltransferase	03265956cd705f6312ac94ccae515870
0.0224	56	signal peptidase I	01479f4ed104a257ee6b20c256614a4b
0.022	55	hemolysin A	0045dad836b3c36cbe7ac15e57ac4425
0.022	55	asparagine synthetase B	000c925347d3fdca0c764fe2766cb5b1
0.022	55	Methylenetetrahydrofolate reductase (NAD(P)H)	026d21fdc284e25d83944ab45059443f
0.0216	54	putative endonuclease/exonuclease/phosphatase family protein	001df00fea9830ca2d64abcadc0d0761
0.0216	54	choloylglycine hydrolase	0262926815ff2c6b59aecf21d3c778a0
0.0216	54	sugar ABC transporte	025f58599e72bf3dc7c61569269bdc0a
0.0212	53	ketol-acid reductoisomerase	00848584767d07edcd2e35107055076e
0.0212	53	recombinase A	032b0d1f018ab2443cd9e85381923602
0.0212	53	pyruvate ferredoxin/flavodoxin oxidoreductase	01aa4f02d7fd208716c63391d0d5923a
0.0208	52	extracellular solute-binding protein family 1	01a43316a9c81dc5e0e541a9b07af49a
0.0208	52	putative S-adenosylmethionine:tRNA ribosyltransferase-isomerase	02d28f6f5cdacfba3ff4e6c2a2a654a0
0.0208	52	preprotein translocase subunit SecA	007d920557e82da901d17389056e8233
0.0204	51	tRNA/rRNA methyltransferase (SpoU)	00c8a9bb6d0c8e2d51064ca8c7a32130
0.0204	51	M protein-like MukB domain-containing protein	037581711638b302eded42267c4a5c1a
